block_code,block_name,zp_code,zp_name
1507,Sohanv,117,Ballia
1676,Sohawal,131,Ayodhya
1431,Soraon,111,Prayagraj
1659,Soron,577,Kasganj
296948,Sringverpur Dham,111,Prayagraj
2071,Suar,167,Rampur
1824,Suitha Kala,143,Jaunpur
1825,Sujan Ganj,143,Jaunpur
1902,Sukrauli,151,Kushi Nagar
1950,Sultanganj,157,Mainpuri
1776,Sumerpur,140,Hamirpur
2197,Sumerpur,177,Unnao
1539,Suratganj,120,Barabanki
2097,Suriyavan,170,Sant Ravidas Nagar
1793,Sursa,141,Hardoi
1613,Syana,125,Bulandshahr
1468,Tahbarpur,114,Azamgarh
1489,Tajwapur,116,Bahraich
1667,Takha,130,Etawah
1910,Talbehat,152,Lalitpur
1846,Talgram,146,Kannauj
1903,Tamkuhiraj,151,Kushi Nagar
1441,Tanda,112,Ambedkar Nagar
1794,Tandiyawan,141,Hardoi
1412,Tappal,110,Aligarh
1749,Tarabganj,138,Gonda
1644,Tarkalua,128,Deoria
1677,Tarun,131,Ayodhya
1469,Tarwa,114,Azamgarh
1696,Telyani,133,Fatehpur
2006,Thakurdwara,162,Moradabad
2019,Thana Bhawan,259727,Shamli
1470,Thekma,114,Azamgarh
2112,Tilhar,171,Shahjahanpur
2064,Tiloi,584,Amethi
1524,Tindwari,119,Banda
1795,Todarpur,141,Hardoi
1540,Trivediganj,120,Barabanki
1515,Tulsipur,118,Balrampur
1706,Tundla,134,Firozabad
1596,Ujhani,124,Budaun
1847,Umarda,146,Kannauj
2020,Un,259727,Shamli
1614,Unchagaon,125,Bulandshahr
2065,Unchahar,166,Rae Bareli
1769,Uruwa,139,Gorakhpur
1432,Uruwan,111,Prayagraj
1597,Usawan,124,Budaun
2131,Uska Bazar,173,Siddharth Nagar
1516,Utraula,118,Balrampur
1732,Varachakwar,137,Ghazipur
1867,Vidhunu,148,Kanpur Nagar
1697,Vijayipur,133,Fatehpur
1569,Vikram Jot,122,Basti
1733,Virno,137,Ghazipur
1490,Visheshwarganj,116,Bahraich
1904,Vishunpura,151,Kushi Nagar
1598,Wazirganj,124,Budaun
1750,Wazirganj,138,Gonda
1734,Zamania,137,Ghazipur
