Year,LGI Type,District,Block,Municipality,Corporation,Grama Panchayat,0,1,2,3
2005,Municipality,Ernakulam,,Kalamassery,,,15,Santhakumari Nanu,CPI(M),525
2005,Municipality,Ernakulam,,Kalamassery,,,16,Bindhu Sudhakaran,CPI(M),429
2005,Municipality,Ernakulam,,Kalamassery,,,17,T.S. Abubacker,ML,525
2005,Municipality,Ernakulam,,Kalamassery,,,18,I.M.Abdul Rehiman,ML,472
2005,Municipality,Ernakulam,,Kalamassery,,,19,A.K.Basheer,INC,767
2005,Municipality,Ernakulam,,Kalamassery,,,20,Kozhikkal Rajan,INDEPENDENT,302
2005,Municipality,Ernakulam,,Kalamassery,,,21,Anni Jose,INC,259
2005,Municipality,Ernakulam,,Kalamassery,,,22,A.A.Pareeth,INDEPENDENT,466
2005,Municipality,Ernakulam,,Kalamassery,,,23,Areefa Teacher,INC,421
2005,Municipality,Ernakulam,,Kalamassery,,,24,Malini Mohanan,INC,340
2005,Municipality,Ernakulam,,Kalamassery,,,25,N.K. Pavithran,INDEPENDENT,507
2005,Municipality,Ernakulam,,Kalamassery,,,26,P.K.Saidh Muhammad,INDEPENDENT,287
2005,Municipality,Ernakulam,,Kalamassery,,,27,Jalal Kummacheri,DIC(K),337
2005,Municipality,Ernakulam,,Kalamassery,,,28,N.Sreekumar,CPI(M),446
2005,Municipality,Ernakulam,,Kalamassery,,,29,Muhammad Kunju Chevettithara,INC,210
2005,Municipality,Ernakulam,,Kalamassery,,,30,V.N.Dileep Kumar,CPI(M),630
2005,Municipality,Ernakulam,,Kalamassery,,,31,Asma Teacher,INC,387
2005,Municipality,Ernakulam,,Kalamassery,,,32,M.A.Sajeev,INDEPENDENT,730
2005,Municipality,Ernakulam,,Kalamassery,,,33,Thankamma Teacher,INC,538
2005,Municipality,Ernakulam,,Kalamassery,,,34,Jaleel Pamangadan,INC,636
2005,Municipality,Ernakulam,,Kalamassery,,,35,C.A.Prakashan,CPI(M),324
2005,Municipality,Ernakulam,,Kalamassery,,,36,Ramla Mahin,ML,321
2005,Municipality,Ernakulam,,Kalamassery,,,37,Aisha Sainudheen,RSP,367
2005,Municipality,Ernakulam,,Kalamassery,,,38,N.Raveendran Pillai Narayanan,RSP,494
2005,Municipality,Ernakulam,,Kalamassery,,,39,Gracy Teacher,INC,337
2005,Municipality,Ernakulam,,Kothamangalam,,,"Kothamangalam Municipality, Ernakulam","Kothamangalam Municipality, Ernakulam","Kothamangalam Municipality, Ernakulam","Kothamangalam Municipality, Ernakulam"
2005,Municipality,Ernakulam,,Kothamangalam,,,Ward No,Elected Members,Front,Votes
2005,Municipality,Ernakulam,,Kothamangalam,,,1,Adv.Abumoitheen,DIC(K),524
2005,Municipality,Ernakulam,,Kothamangalam,,,2,O.P.Paul,KC(J),416
2005,Municipality,Ernakulam,,Kothamangalam,,,3,Moly Sunny,KC(J),618
2005,Municipality,Ernakulam,,Kothamangalam,,,4,V.V.Kurian,DIC(K),484
2005,Municipality,Ernakulam,,Kothamangalam,,,5,Lisy Paul,INDEPENDENT,353
2005,Municipality,Ernakulam,,Kothamangalam,,,6,Gopalan Ayyapan,CPI,264
2005,Municipality,Ernakulam,,Kothamangalam,,,7,Mary Augstine,KC(J),417
2005,Municipality,Ernakulam,,Kothamangalam,,,8,Tomy Abharam,CPI(M),332
2005,Municipality,Ernakulam,,Kothamangalam,,,9,KENNADY PETER,DIC(K),464
2005,Municipality,Ernakulam,,Kothamangalam,,,10,Sandru Varkey M V,CPI(M),430
2005,Municipality,Ernakulam,,Kothamangalam,,,11,Sunitha Raju,INDEPENDENT,435
2005,Municipality,Ernakulam,,Kothamangalam,,,12,Binu Cherian,INC,575
2005,Municipality,Ernakulam,,Kothamangalam,,,13,T.G.Kesavadas,CPI(M),359
2005,Municipality,Ernakulam,,Kothamangalam,,,14,R.Anilkumar,CPI(M),500
2005,Municipality,Ernakulam,,Kothamangalam,,,15,Merley Joseph,KC(M),421
2005,Municipality,Ernakulam,,Kothamangalam,,,16,Philip Ouseph,KC(M),295
2005,Municipality,Ernakulam,,Kothamangalam,,,17,Anitha Manohar,INC,383
2005,Municipality,Ernakulam,,Kothamangalam,,,18,Soya Markose,INC,433
2005,Municipality,Ernakulam,,Kothamangalam,,,19,Ano Varghese,INDEPENDENT,595
2005,Municipality,Ernakulam,,Kothamangalam,,,20,Marykutty Augasthi,KC(J),517
2005,Municipality,Ernakulam,,Kothamangalam,,,21,Molly Raju,INC,361
2005,Municipality,Ernakulam,,Kothamangalam,,,22,Thomas Varghese,INC,598
2005,Municipality,Ernakulam,,Kothamangalam,,,23,Maydeen Muhamood,INDEPENDENT,525
2005,Municipality,Ernakulam,,Kothamangalam,,,24,A.G.George,INC,476
2005,Municipality,Ernakulam,,Kothamangalam,,,25,Eldhose Varghese,INC,501
2005,Municipality,Ernakulam,,Kothamangalam,,,26,Mathew .P.P.,INDEPENDENT,448
2005,Municipality,Ernakulam,,Kothamangalam,,,27,Biju Thomas,DIC(K),353
2005,Municipality,Ernakulam,,Kothamangalam,,,28,Nimmi Nazer,CPI(M),400
2005,Municipality,Ernakulam,,Muvattupuzha,,,"Muvattupuzha Municipality, Ernakulam","Muvattupuzha Municipality, Ernakulam","Muvattupuzha Municipality, Ernakulam","Muvattupuzha Municipality, Ernakulam"
2005,Municipality,Ernakulam,,Muvattupuzha,,,Ward No,Elected Members,Front,Votes
2005,Municipality,Ernakulam,,Muvattupuzha,,,1,Babu Raj.P.K,CPI,509
2005,Municipality,Ernakulam,,Muvattupuzha,,,2,Anilkumar.K.G.,CPI(M),511
2005,Municipality,Ernakulam,,Muvattupuzha,,,3,Usha Sasidharan,CPI(M),354
2005,Municipality,Ernakulam,,Muvattupuzha,,,4,Jaya Prakash.K.K,INDEPENDENT,530
2005,Municipality,Ernakulam,,Muvattupuzha,,,5,Yooseph,CPI(M),355
2005,Municipality,Ernakulam,,Muvattupuzha,,,6,Saudha Shakeer,CPI,344
2005,Municipality,Ernakulam,,Muvattupuzha,,,7,Navas.K.A.,CPI,612
2005,Municipality,Ernakulam,,Muvattupuzha,,,8,Ummamath Saleem,CPI(M),363
2005,Municipality,Ernakulam,,Muvattupuzha,,,9,Shukkur.C.M,ML,545
2005,Municipality,Ernakulam,,Muvattupuzha,,,10,Shandha Sukumaran,CPI(M),446
2005,Municipality,Ernakulam,,Muvattupuzha,,,11,Abdul Majeed.K.M.,ML,415
2005,Municipality,Ernakulam,,Muvattupuzha,,,12,Abdul Salam,INC,301
2005,Municipality,Ernakulam,,Muvattupuzha,,,13,Mathappan.M.,KC(J),501
2005,Municipality,Ernakulam,,Muvattupuzha,,,14,Moly Saju,INC,363
2005,Municipality,Ernakulam,,Muvattupuzha,,,15,Raju.K.P,CPI,332
2005,Municipality,Ernakulam,,Muvattupuzha,,,16,Wilson -- -- Mathew Kurishinkal,KC(M),387
2005,Municipality,Ernakulam,,Muvattupuzha,,,17,Jaya Krishnan Nair,INC,412
2005,Municipality,Ernakulam,,Muvattupuzha,,,18,Ibrahim.P.M.,CPI(M),361
2005,Municipality,Ernakulam,,Muvattupuzha,,,19,Vijaya Chandran.S,CPI(M),413
2005,Municipality,Ernakulam,,Muvattupuzha,,,20,Adv.Johni George,KC(J),208
2005,Municipality,Ernakulam,,Muvattupuzha,,,21,Prasanna.K.P,CPI,270
2005,Municipality,Ernakulam,,Muvattupuzha,,,22,Raji Dileep,CPI(M),475
2005,Municipality,Ernakulam,,Muvattupuzha,,,23,Shibi Thankachan,CPI(M),429
2005,Municipality,Ernakulam,,Muvattupuzha,,,24,George.K.Kuruvilla,CPI(M),392
2005,Municipality,Ernakulam,,Muvattupuzha,,,25,Mary George,CPI(M),
2005,Municipality,Ernakulam,,North Paravoor,,,"North Paravoor Municipality, Ernakulam","North Paravoor Municipality, Ernakulam","North Paravoor Municipality, Ernakulam","North Paravoor Municipality, Ernakulam"
2005,Municipality,Ernakulam,,North Paravoor,,,Ward No,Elected Members,Front,Votes
2005,Municipality,Ernakulam,,North Paravoor,,,1,Alphonsa Varghese,INDEPENDENT,356
2005,Municipality,Ernakulam,,North Paravoor,,,2,M.J.Raju,INC,480
2005,Municipality,Ernakulam,,North Paravoor,,,3,Lali Joy,INC,428
2005,Municipality,Ernakulam,,North Paravoor,,,4,Syamala Vidyadharan,DIC(K),410
2005,Municipality,Ernakulam,,North Paravoor,,,5,Adv.Mini Suresh,DIC(K),298
2005,Municipality,Ernakulam,,North Paravoor,,,6,Valsala Prasannakumar,INC,451
2005,Municipality,Ernakulam,,North Paravoor,,,7,Beena Sasidharan Pillai,INC,277
2005,Municipality,Ernakulam,,North Paravoor,,,8,Pradeep Thoppil,INC,548
2005,Municipality,Ernakulam,,North Paravoor,,,9,Adv.N.A.Ali,CPI(M),492
2005,Municipality,Ernakulam,,North Paravoor,,,10,Soman Madhavan,INC,570
2005,Municipality,Ernakulam,,North Paravoor,,,11,K.Sudhakaran Pillai,CPI,526
2005,Municipality,Ernakulam,,North Paravoor,,,12,N.K.Salim,INC,323
2005,Municipality,Ernakulam,,North Paravoor,,,13,Vidyanandhan,CPI(M),525
2005,Municipality,Ernakulam,,North Paravoor,,,14,S.Sreekumari,CPI,443
2005,Municipality,Ernakulam,,North Paravoor,,,15,V.A.Devarajan,CPI,347
2005,Municipality,Ernakulam,,North Paravoor,,,16,K.Sathyan,INC,232
2005,Municipality,Ernakulam,,North Paravoor,,,17,K.V.Sankarankutty,CPI(M),669
2005,Municipality,Ernakulam,,North Paravoor,,,18,Jayasree,INDEPENDENT,385
2005,Municipality,Ernakulam,,North Paravoor,,,19,Chandravathiyamma,DIC(K),315
2005,Municipality,Ernakulam,,North Paravoor,,,20,Adv.P.Viswanathamenon,DIC(K),366
2005,Municipality,Ernakulam,,North Paravoor,,,21,D.Rajkumar,INC,464
2005,Municipality,Ernakulam,,North Paravoor,,,22,C.P.Jayan,CPI(M),496
2005,Municipality,Ernakulam,,North Paravoor,,,23,C.A.Rajeev,CPI(M),526
2005,Municipality,Ernakulam,,North Paravoor,,,24,Jyothi,INDEPENDENT,356
2005,Municipality,Ernakulam,,North Paravoor,,,25,K.Ramachandran,CPI,431
2005,Municipality,Ernakulam,,North Paravoor,,,26,Suja Anilkumar,INDEPENDENT,433
2005,Municipality,Ernakulam,,Perumbavoor,,,"Perumbavoor Municipality, Ernakulam","Perumbavoor Municipality, Ernakulam","Perumbavoor Municipality, Ernakulam","Perumbavoor Municipality, Ernakulam"
2005,Municipality,Ernakulam,,Perumbavoor,,,Ward No,Elected Members,Front,Votes
2005,Municipality,Ernakulam,,Perumbavoor,,,1,V.P.Babu,INDEPENDENT,486
2005,Municipality,Ernakulam,,Perumbavoor,,,2,P.E.Nazeer,INDEPENDENT,270
2005,Municipality,Ernakulam,,Perumbavoor,,,3,S.Sharaf,INDEPENDENT,221
2005,Municipality,Ernakulam,,Perumbavoor,,,4,Adv.N.C.Mohanan,CPI(M),
2005,Municipality,Ernakulam,,Perumbavoor,,,5,Adv.P.K.Baiju,CPI(M),393
2005,Municipality,Ernakulam,,Perumbavoor,,,6,P.K.Babu,INC,218
2005,Municipality,Ernakulam,,Perumbavoor,,,7,P.Prashanth,INDEPENDENT,343
2005,Municipality,Ernakulam,,Perumbavoor,,,8,Dr.K.S.Fathimabevi,INC,190
2005,Municipality,Ernakulam,,Perumbavoor,,,9,E.S.Sukunan,INDEPENDENT,270
2005,Municipality,Ernakulam,,Perumbavoor,,,10,Babu John,INC,187
2005,Municipality,Ernakulam,,Perumbavoor,,,11,Manju krishnan,CPI,357
2005,Municipality,Ernakulam,,Perumbavoor,,,12,Rajasri Premkumar,CONGRESS(S),404
2005,Municipality,Ernakulam,,Perumbavoor,,,13,T.V.Padmanabhan,CPI(M),185
2005,Municipality,Ernakulam,,Perumbavoor,,,14,M.P.Sadhananthan,CPI(M),562
2005,Municipality,Ernakulam,,Perumbavoor,,,15,Biju John Jacobe,INC,395
2005,Municipality,Ernakulam,,Perumbavoor,,,16,Premgy.h. Pattel,INC,398
2005,Municipality,Ernakulam,,Perumbavoor,,,17,Mini Joshi,INC,272
2005,Municipality,Ernakulam,,Perumbavoor,,,18,Saramma Sanny,INDEPENDENT,467
2005,Municipality,Ernakulam,,Perumbavoor,,,19,Savithry Nambiar,INDEPENDENT,429
2005,Municipality,Ernakulam,,Perumbavoor,,,20,Jaya Arunkumar,CPI,465
2005,Municipality,Ernakulam,,Perumbavoor,,,21,Isha Teacher,INC,330
2005,Municipality,Ernakulam,,Perumbavoor,,,22,C.K.Abdhulla,INC,525
2005,Municipality,Ernakulam,,Perumbavoor,,,23,P.H.Abdhul Khader (Anthukkayi),DIC(K),340
2005,Municipality,Ernakulam,,Perumbavoor,,,24,T.P.Hassan,INC,532
2005,Municipality,Ernakulam,,Thrippunithura,,,"Thrippunithura Municipality, Ernakulam","Thrippunithura Municipality, Ernakulam","Thrippunithura Municipality, Ernakulam","Thrippunithura Municipality, Ernakulam"
2005,Municipality,Ernakulam,,Thrippunithura,,,Ward No,Elected Members,Front,Votes
2005,Municipality,Ernakulam,,Thrippunithura,,,1,Jenni nadakumar,INDEPENDENT,392
2005,Municipality,Ernakulam,,Thrippunithura,,,2,T.K.Shine,CPI(M),332
2005,Municipality,Ernakulam,,Thrippunithura,,,3,Yamuna Retishan,CPI(M),670
2005,Municipality,Ernakulam,,Thrippunithura,,,4,B.S Nandanan,CPI(M),505
2005,Municipality,Ernakulam,,Thrippunithura,,,5,Choti Master,CPI(M),323
2005,Municipality,Ernakulam,,Thrippunithura,,,6,T.Raveendran,INC,445
2005,Municipality,Ernakulam,,Thrippunithura,,,7,V.S.Kala,INDEPENDENT,329
2005,Municipality,Ernakulam,,Thrippunithura,,,8,K.K.Mohanan,CPI(M),489
2005,Municipality,Ernakulam,,Thrippunithura,,,9,P.N.Dasan,CPI(M),394
2005,Municipality,Ernakulam,,Thrippunithura,,,10,VISALAKSHI TEACHER,DIC(K),239
2005,Municipality,Ernakulam,,Thrippunithura,,,11,P.K.Bindhu,INDEPENDENT,341
2005,Municipality,Ernakulam,,Thrippunithura,,,12,Augustain joseph Kooliyadan,CONGRESS(S),382
2005,Municipality,Ernakulam,,Thrippunithura,,,13,Sakunthala Jayakumar,INC,418
2005,Municipality,Ernakulam,,Thrippunithura,,,14,D.Arjunan,INC,584
2005,Municipality,Ernakulam,,Thrippunithura,,,15,Sajan Varghese,CPI(M),544
2005,Municipality,Ernakulam,,Thrippunithura,,,16,Valsala Anilkumar,CPI(M),222
2005,Municipality,Ernakulam,,Thrippunithura,,,17,Manath Sukumaran,INC,392
2005,Municipality,Ernakulam,,Thrippunithura,,,18,K.G.Sathyavrathan Gopalan,CPI(M),465
2005,Municipality,Ernakulam,,Thrippunithura,,,19,Sheela Sathyavrathan,CPI(M),537
2005,Municipality,Ernakulam,,Thrippunithura,,,20,Indera Sadthesan,DIC(K),349
2005,Municipality,Ernakulam,,Thrippunithura,,,21,Veenu Gopal -- -- Ramaswami,INC,360
2005,Municipality,Ernakulam,,Thrippunithura,,,22,Sheena Suresh,INDEPENDENT,362
2005,Municipality,Ernakulam,,Thrippunithura,,,23,Ammnni Nadarajan,CPI(M),383
2005,Municipality,Ernakulam,,Thrippunithura,,,24,Mohandas t -- -- k,CPI(M),459
2005,Municipality,Ernakulam,,Thrippunithura,,,25,Adv Rajini -- -- Suresh,INDEPENDENT,320
2005,Municipality,Ernakulam,,Thrippunithura,,,26,Prabhakaran Ramachandranaik,BJP,212
2005,Municipality,Ernakulam,,Thrippunithura,,,27,Venau Gopal Radhakrishanan,INDEPENDENT,480
2005,Municipality,Ernakulam,,Thrippunithura,,,28,T Bhsakaran,INC,336
2005,Municipality,Ernakulam,,Thrippunithura,,,29,K.K.Subharamanian,INDEPENDENT,308
2005,Municipality,Ernakulam,,Thrippunithura,,,30,O V Salim,CPI(M),404
2005,Municipality,Ernakulam,,Thrippunithura,,,31,Candharan muarakatt,INC,370
2005,Municipality,Ernakulam,,Thrippunithura,,,32,T K Mohnanan,INDEPENDENT,428
2005,Municipality,Ernakulam,,Thrippunithura,,,33,P D Sreekumar,INC,584
2005,Municipality,Ernakulam,,Thrippunithura,,,34,P.A.Chalappan master,CPI(M),360
2005,Municipality,Ernakulam,,Thrippunithura,,,35,Iirial Thambi,CPI(M),360
2005,Municipality,Ernakulam,,Thrippunithura,,,36,M.M.Mayadevi,INC,582
2005,Municipality,Ernakulam,,Thrippunithura,,,37,K.J Joshi,CPI(M),710
2005,Municipality,Thrissur,,Chalakkudy,,,"Chalakkudy Municipality, Thrissur","Chalakkudy Municipality, Thrissur","Chalakkudy Municipality, Thrissur","Chalakkudy Municipality, Thrissur"
2005,Municipality,Thrissur,,Chalakkudy,,,Ward No,Elected Members,Front,Votes
2005,Municipality,Thrissur,,Chalakkudy,,,1,Johnson V L,INC,509
2005,Municipality,Thrissur,,Chalakkudy,,,2,Rani Pailan,INDEPENDENT,435
2005,Municipality,Thrissur,,Chalakkudy,,,3,Sasidharan M N,CPI(M),479
2005,Municipality,Thrissur,,Chalakkudy,,,4,Menaka C C,INDEPENDENT,256
2005,Municipality,Thrissur,,Chalakkudy,,,5,Vinitha Menon,INDEPENDENT,203
2005,Municipality,Thrissur,,Chalakkudy,,,6,Clara Wilson,INC,399
2005,Municipality,Thrissur,,Chalakkudy,,,7,Jose Meleppuram,INDEPENDENT,370
2005,Municipality,Thrissur,,Chalakkudy,,,8,Kochuthressia Johni,INC,303
2005,Municipality,Thrissur,,Chalakkudy,,,9,Anilkumar M M,INC,416
2005,Municipality,Thrissur,,Chalakkudy,,,10,Usha Stalin,INDEPENDENT,509
2005,Municipality,Thrissur,,Chalakkudy,,,11,Pailappan V O,INC,658
2005,Municipality,Thrissur,,Chalakkudy,,,12,P P Paul,CMP,573
2005,Municipality,Thrissur,,Chalakkudy,,,13,Ajithan K I,CPI(M),578
2005,Municipality,Thrissur,,Chalakkudy,,,14,Usha Parameswaran,INDEPENDENT,455
2005,Municipality,Thrissur,,Chalakkudy,,,15,Adv. Biju S Chirayath,DIC(K),467
2005,Municipality,Thrissur,,Chalakkudy,,,16,Jeo Kizhakkumthala,INC,602
2005,Municipality,Thrissur,,Chalakkudy,,,17,Joisy Jose,INDEPENDENT,359
2005,Municipality,Thrissur,,Chalakkudy,,,18,Lakshmi,INDEPENDENT,265
2005,Municipality,Thrissur,,Chalakkudy,,,19,George Kattuparamban,DIC(K),388
2005,Municipality,Thrissur,,Chalakkudy,,,20,Panampilly Raghavamenon,INC,398
2005,Municipality,Thrissur,,Chalakkudy,,,21,Martin U V,INDEPENDENT,399
2005,Municipality,Thrissur,,Chalakkudy,,,22,Shimmi George,INDEPENDENT,284
2005,Municipality,Thrissur,,Chalakkudy,,,23,Thankamani Gopalan,INC,449
2005,Municipality,Thrissur,,Chalakkudy,,,24,Kochu Mathu,CPI(M),354
2005,Municipality,Thrissur,,Chalakkudy,,,25,C M Asokan,INDEPENDENT,441
2005,Municipality,Thrissur,,Chalakkudy,,,26,C C Joshi,CPI(M),571
2005,Municipality,Thrissur,,Chalakkudy,,,27,T J Paul,INDEPENDENT,562
2005,Municipality,Thrissur,,Chalakkudy,,,28,A M Chandrasekharan,INDEPENDENT,245
2005,Municipality,Thrissur,,Chalakkudy,,,29,Alice Shibu,INC,583
2005,Municipality,Thrissur,,Chalakkudy,,,30,Shibu Valappan,INC,441
2005,Municipality,Thrissur,,Chalakkudy,,,31,Ajithan Parambikkadan,INC,528
2005,Municipality,Thrissur,,Chalakkudy,,,32,Jose Pullan,INDEPENDENT,393
2005,Municipality,Thrissur,,Chalakkudy,,,33,M K Chandran,CPI(M),602
2005,Municipality,Thrissur,,Chavakkad,,,"Chavakkad Municipality, Thrissur","Chavakkad Municipality, Thrissur","Chavakkad Municipality, Thrissur","Chavakkad Municipality, Thrissur"
2005,Municipality,Thrissur,,Chavakkad,,,Ward No,Elected Members,Front,Votes
2005,Municipality,Thrissur,,Chavakkad,,,1,T.A. Haris,ML,445
2005,Municipality,Thrissur,,Chavakkad,,,2,M.R. Radhakrishnan,CPI(M),667
2005,Municipality,Thrissur,,Chavakkad,,,3,M.A. Sumangala,CPI,450
2005,Municipality,Thrissur,,Chavakkad,,,4,K.H. Salam,CPI(M),499
2005,Municipality,Thrissur,,Chavakkad,,,5,Sujatha Sathyan,INC,455
2005,Municipality,Thrissur,,Chavakkad,,,6,P. Yadheendradas,DIC(K),321
2005,Municipality,Thrissur,,Chavakkad,,,7,Karikkayil Muhamad Sakeer (Kareem),INC,422
2005,Municipality,Thrissur,,Chavakkad,,,8,Panakkal Varghees,INC,412
2005,Municipality,Thrissur,,Chavakkad,,,9,A.A. Chandran,CPI(M),259
2005,Municipality,Thrissur,,Chavakkad,,,10,K.S. Asha,CPI(M),504
2005,Municipality,Thrissur,,Chavakkad,,,11,Rosilint Jacob,INDEPENDENT,407
2005,Municipality,Thrissur,,Chavakkad,,,12,Malikulam Abas,CPI(M),388
2005,Municipality,Thrissur,,Chavakkad,,,13,Noushad Thekkumpuram,ML,569
2005,Municipality,Thrissur,,Chavakkad,,,14,M.V. Nafeesa,CPI(M),481
2005,Municipality,Thrissur,,Chavakkad,,,15,A.H. Akbar,CPI(M),585
2005,Municipality,Thrissur,,Chavakkad,,,16,M.B. Prasannan,CPI(M),339
2005,Municipality,Thrissur,,Chavakkad,,,17,K.P. Valsalan,CPI(M),404
2005,Municipality,Thrissur,,Chavakkad,,,18,Sagheer Sabri,ML,481
2005,Municipality,Thrissur,,Chavakkad,,,19,Shobhana Mukundan,CPI(M),532
2005,Municipality,Thrissur,,Chavakkad,,,20,Arulprabha Bhaskaran,CPI,546
2005,Municipality,Thrissur,,Chavakkad,,,21,K.K Karthiyani Teacher,DIC(K),353
2005,Municipality,Thrissur,,Chavakkad,,,22,N.V. Soman,CPI(M),506
2005,Municipality,Thrissur,,Chavakkad,,,23,Sheeja Prasanth,CPI(M),525
2005,Municipality,Thrissur,,Chavakkad,,,24,A.A Mahendran,CPI(M),454
2005,Municipality,Thrissur,,Chavakkad,,,25,Leela Sekaran,CPI(M),573
2005,Municipality,Thrissur,,Chavakkad,,,26,K.M Ali,CPI(M),693
2005,Municipality,Thrissur,,Chavakkad,,,27,Nasari Kunhi Moidhu,INDEPENDENT,500
2005,Municipality,Thrissur,,Chavakkad,,,28,Rama Rajan,CPI(M),365
2005,Municipality,Thrissur,,Chavakkad,,,29,K.Navas,INC,516
2005,Municipality,Thrissur,,Guruvayoor,,,"Guruvayoor Municipality, Thrissur","Guruvayoor Municipality, Thrissur","Guruvayoor Municipality, Thrissur","Guruvayoor Municipality, Thrissur"
2005,Municipality,Thrissur,,Guruvayoor,,,Ward No,Elected Members,Front,Votes
2005,Municipality,Thrissur,,Guruvayoor,,,1,A .T .HAMSA,INC,433
2005,Municipality,Thrissur,,Guruvayoor,,,2,PRASAD PONNARASSERY,INC,289
2005,Municipality,Thrissur,,Guruvayoor,,,3,K .T .SAHADEVAN,CPI(M),358
2005,Municipality,Thrissur,,Guruvayoor,,,4,UNNIKRISHNAN KANJULLY,INC,311
2005,Municipality,Thrissur,,Guruvayoor,,,5,JEENA SURENDRAN,INDEPENDENT,281
2005,Municipality,Thrissur,,Guruvayoor,,,6,JAMES ALOOR,DIC(K),326
2005,Municipality,Thrissur,,Guruvayoor,,,7,M R ABDUL RAHMAN,INDEPENDENT,291
2005,Municipality,Thrissur,,Guruvayoor,,,8,K. MANI,CPI(M),239
2005,Municipality,Thrissur,,Guruvayoor,,,9,SUJA ARAVINDAN,CPI(M),333
2005,Municipality,Thrissur,,Guruvayoor,,,10,P.V. MADHU,CPI,451
2005,Municipality,Thrissur,,Guruvayoor,,,11,SIYA JAYAPRAKASH,CPI(M),394
2005,Municipality,Thrissur,,Guruvayoor,,,12,VRINDA MURALEEDHARAN,CPI(M),206
2005,Municipality,Thrissur,,Guruvayoor,,,13,R.V.SHEREEF,CPI(M),409
2005,Municipality,Thrissur,,Guruvayoor,,,14,SOBHANA CHAKRAVARTHY,INDEPENDENT,321
2005,Municipality,Thrissur,,Guruvayoor,,,15,Adv.SHINE MANAYIL,INDEPENDENT,290
2005,Municipality,Thrissur,,Guruvayoor,,,16,K.K. SURESH KUMAR,DIC(K),277
2005,Municipality,Thrissur,,Guruvayoor,,,17,M .KRISHNADAS,CPI(M),355
2005,Municipality,Thrissur,,Guruvayoor,,,18,VENGERI RAMAN NAMBOOTHIRI,INDEPENDENT,300
2005,Municipality,Thrissur,,Guruvayoor,,,19,GEETHA GOPI,CPI,319
2005,Municipality,Thrissur,,Guruvayoor,,,20,SOBHA HARINARAYANAN,INDEPENDENT,247
2005,Municipality,Thrissur,,Guruvayoor,,,21,Prof.P.K.SANTHAKUMARI,INC,399
2005,Municipality,Thrissur,,Guruvayoor,,,22,DAVID MUTTATH,KC(J),533
2005,Municipality,Thrissur,,Irinjalakuda,,,"Irinjalakuda Municipality, Thrissur","Irinjalakuda Municipality, Thrissur","Irinjalakuda Municipality, Thrissur","Irinjalakuda Municipality, Thrissur"
2005,Municipality,Thrissur,,Irinjalakuda,,,Ward No,Elected Members,Front,Votes
2005,Municipality,Thrissur,,Irinjalakuda,,,1,V.M.BALAKRISHNAN,INC,355
2005,Municipality,Thrissur,,Irinjalakuda,,,2,N.RADHAKRISHNAN MASTER,CPI(M),322
2005,Municipality,Thrissur,,Irinjalakuda,,,3,PADMAJA RAJENDRAN,INC,250
2005,Municipality,Thrissur,,Irinjalakuda,,,4,C.MOHANDAS,DIC(K),252
2005,Municipality,Thrissur,,Irinjalakuda,,,5,K.N.GIREESH,INC,323
2005,Municipality,Thrissur,,Irinjalakuda,,,6,SATHEESH PULIYATH,INC,232
2005,Municipality,Thrissur,,Irinjalakuda,,,7,BABY JOSE KATLA,INC,405
2005,Municipality,Thrissur,,Irinjalakuda,,,8,JAISON PAREKKADAN,INC,359
2005,Municipality,Thrissur,,Irinjalakuda,,,9,Adv.K.R.VIJAYA,CPI(M),399
2005,Municipality,Thrissur,,Irinjalakuda,,,10,ABDUL SALEEM,DIC(K),495
2005,Municipality,Thrissur,,Irinjalakuda,,,11,MOLLY KURIYAN,INDEPENDENT,350
2005,Municipality,Thrissur,,Irinjalakuda,,,12,P.P.VINCENT,CPI,330
2005,Municipality,Thrissur,,Irinjalakuda,,,13,NANCY VARGHESE THOZHUTHUMPARAMBIL,INC,356
2005,Municipality,Thrissur,,Irinjalakuda,,,14,BIJU LAZAR,INC,270
2005,Municipality,Thrissur,,Irinjalakuda,,,15,KUMARI VELAYUDHAN,INC,316
2005,Municipality,Thrissur,,Irinjalakuda,,,16,TESSY JOHNY,KC(M),373
2005,Municipality,Thrissur,,Irinjalakuda,,,17,ROKKEY ALOOKKARAN,INDEPENDENT,272
2005,Municipality,Thrissur,,Irinjalakuda,,,18,P.V.SIVAKUMAR,CPI(M),481
2005,Municipality,Thrissur,,Irinjalakuda,,,19,K.K. HARIDAS,CPI(M),556
2005,Municipality,Thrissur,,Irinjalakuda,,,20,M.P. JACKSON,INC,319
2005,Municipality,Thrissur,,Irinjalakuda,,,21,K.INDIRA TEACHER,INC,239
2005,Municipality,Thrissur,,Irinjalakuda,,,22,K .VENU MASTER,INC,407
2005,Municipality,Thrissur,,Irinjalakuda,,,23,M.M.SURESH BABU,CPI(M),356
2005,Municipality,Thrissur,,Irinjalakuda,,,24,JAYASREE BABU,CPI(M),182
2005,Municipality,Thrissur,,Irinjalakuda,,,25,VARGHESE KALLUKKARAN,INC,467
2005,Municipality,Thrissur,,Kodungalloor,,,"Kodungalloor Municipality, Thrissur","Kodungalloor Municipality, Thrissur","Kodungalloor Municipality, Thrissur","Kodungalloor Municipality, Thrissur"
2005,Municipality,Thrissur,,Kodungalloor,,,Ward No,Elected Members,Front,Votes
