district_2020,ps_2020,gp_2020,reservation_2020
Tonk,Malpura,Chabrana,General
Tonk,Malpura,Chainpura,OBC
Tonk,Malpura,Chandsain,General
Tonk,Malpura,Chavandiya,General (Woman)
Sikar,Palsana,Palsana,General
Sikar,Palsana,Raipura,SC
Sikar,Palsana,Ralawta,General
Sikar,Palsana,Ranoli,General
Tonk,Malpura,Deshma,OBC
Tonk,Malpura,Dholi,SC
Tonk,Malpura,Diggi,General (Woman)
Tonk,Malpura,Dungrikalan,OBC
Sikar,Palsana,Revasa,OBC
Sikar,Palsana,Samer,SC (Woman)
Sikar,Palsana,Sangarva,General (Woman)
Sikar,Palsana,Shishnyu,SC
Sikar,Palsana,Shyampura,General
Tonk,Malpura,Ganvar,General (Woman)
Tonk,Malpura,Indoli,SC (Woman)
Tonk,Malpura,Jhadli,SC
Sikar,Palsana,Sujavas,General
Sikar,Palsana,Ved Ki Dhani,General (Woman)
Tonk,Malpura,Kacholiya,OBC (Woman)
Tonk,Malpura,Kadila,General
Tonk,Malpura,Kalmanda,SC
Tonk,Malpura,Kiantoli,OBC (Woman)
Tonk,Malpura,Kiraval,General
Tonk,Malpura,Kurad,OBC (Woman)
Tonk,Malpura,Lambaharisingh,General (Woman)
Sikar,Neemkathana,Aagwadi,OBC (Woman)
Tonk,Malpura,Lava,General
Tonk,Malpura,Malikpur,General (Woman)
Tonk,Niwai,Arniya,ST (Woman)
Sikar,Neemkathana,Agari,General (Woman)
Sikar,Neemkathana,Bansdi Khurd,General (Woman)
Tonk,Malpura,Morla,SC (Woman)
Tonk,Malpura,Nagar,General (Woman)
Tonk,Malpura,Pachevar,General (Woman)
Tonk,Malpura,Parli,SC (Woman)
Tonk,Malpura,Rajpura,SC
Tonk,Niwai,Bansthali,General
Tonk,Niwai,Bassi,ST
Tonk,Niwai,Behad,SC
Tonk,Niwai,Bharthla,ST
Tonk,Niwai,Bidoli,SC
Sikar,Neemkathana,Bhageda,General
Sikar,Neemkathana,Bhudoli,OBC
Sikar,Neemkathana,Chala,SC
Tonk,Malpura,Rindliya Bujurg,General
Tonk,Malpura,Sindholiya,SC (Woman)
Tonk,Malpura,Sitarampura,General
Tonk,Malpura,Soda,General (Woman)
Tonk,Niwai,Chainpura,ST
Tonk,Niwai,Chanani,General
Tonk,Niwai,Chaturbhurjpura,ST (Woman)
Tonk,Niwai,Dangarthal,SC
Tonk,Niwai,Dattawas,SC
Sikar,Neemkathana,Charanwas Puranawas,General (Woman)
Sikar,Neemkathana,Dayal Ki Nangal,General
Sikar,Neemkathana,Dehra Johadwali,General
Sikar,Neemkathana,Ganeshwer,General (Woman)
Tonk,Malpura,Soda Bavdi,ST
Tonk,Malpura,Tilanju,General
Tonk,Malpura,Tordi,General
Tonk,Niwai,Dehlod,General (Woman)
Tonk,Niwai,Dhani Jugalpura,ST (Woman)
Tonk,Niwai,Gunsi,SC (Woman)
Tonk,Niwai,Hingoniya Bujurg,OBC (Woman)
Sikar,Neemkathana,Gawandi,General
Sikar,Neemkathana,Godawas,General (Woman)
Sikar,Neemkathana,Govindpura,ST (Woman)
Sikar,Neemkathana,Guhala,General (Woman)
Tonk,Niwai,Jamdoli,SC
Tonk,Niwai,Jhilai,General (Woman)
Tonk,Niwai,Jodhpuriya,General
Tonk,Niwai,Khandevat,General (Woman)
Sikar,Neemkathana,Harjanpura,SC
Sikar,Neemkathana,Hiranagar,OBC
Sikar,Neemkathana,Jhirana,General (Woman)
Tonk,Niwai,Khandwa,General
Tonk,Niwai,Khidgi,General (Woman)
Tonk,Niwai,Kreda Bhjurg,General (Woman)
Tonk,Niwai,Lalwadi,General
Sikar,Neemkathana,Khadra,General (Woman)
Sikar,Neemkathana,Kotara,OBC (Woman)
Tonk,Niwai,Lalwadi,General (Woman)
Tonk,Niwai,Luhara,General (Woman)
Tonk,Niwai,Mahapura Urg Turdiya,General
Tonk,Niwai,Mundiya,SC (Woman)
Tonk,Niwai,Natwada,General (Woman)
Tonk,Niwai,Noheta,SC (Woman)
Tonk,Niwai,Pahadi,General (Woman)
Sikar,Neemkathana,Kurabada,General
Sikar,Neemkathana,Mahawa,General (Woman)
Sikar,Neemkathana,Makdi,ST
Sikar,Neemkathana,Manda Kala,General
Sikar,Neemkathana,Mantholi,General (Woman)
Tonk,Niwai,Palai,General
Tonk,Niwai,Raholi,ST (Woman)
Tonk,Niwai,Rajwas,General
Tonk,Niwai,Sedriya Khurd,General
Sikar,Neemkathana,Mawanda Khurd,General
Sikar,Neemkathana,Mawanda Railway Station,General
Sikar,Neemkathana,Napavali,General
Tonk,Niwai,Shrirampura,OBC
Tonk,Niwai,Sidda,General
Tonk,Niwai,Sindra,General (Woman)
Tonk,Niwai,Siras,OBC
Tonk,Niwai,Sirohi,General (Woman)
Sikar,Neemkathana,Narsinghpuri,SC (Woman)
Sikar,Neemkathana,Natha Ki Nangal,SC (Woman)
Sikar,Neemkathana,Nayabas,OBC (Woman)
Sikar,Neemkathana,Peethampuri,General
Tonk,Niwai,Sunara,General (Woman)
Tonk,Niwai,Titoli Urf Badgaon,SC (Woman)
Sikar,Neemkathana,Sirohi,OBC
Sikar,Neemkathana,Thikrai,OBC
Sikar,Laxmangarh,Alakhpura Bogan,General
Sikar,Laxmangarh,Badusar,General (Woman)
Sikar,Laxmangarh,Bagdi,General (Woman)
Sikar,Laxmangarh,Balara,General
Sikar,Laxmangarh,Batdanau,General (Woman)
Sikar,Laxmangarh,Bathoth,General
Sikar,Laxmangarh,Bhojasar Bada,General
Sikar,Laxmangarh,Bhuma Bada,General
Sikar,Laxmangarh,Bidasar,General (Woman)
Sikar,Laxmangarh,Bidodi Badi,General (Woman)
Sikar,Laxmangarh,Bidsar,SC (Woman)
Sikar,Laxmangarh,Chudimiya,General (Woman)
Sikar,Laxmangarh,Dhanani,OBC
Sikar,Laxmangarh,Disnau,OBC
Sikar,Laxmangarh,Dudwa,SC (Woman)
Sikar,Laxmangarh,Ghassu,SC
Sikar,Laxmangarh,Hameerpura,General
Sikar,Laxmangarh,Jajod,General (Woman)
Sikar,Laxmangarh,Jasrasar,General (Woman)
Sikar,Laxmangarh,Khedi Radan,General (Woman)
Sikar,Laxmangarh,Kheerwa,OBC (Woman)
Sikar,Laxmangarh,Kheevsar,OBC (Woman)
Sikar,Laxmangarh,Khudi Badi,General (Woman)
Sikar,Laxmangarh,Kumas Jatan,General
Sikar,Laxmangarh,Lalasu,OBC
Sikar,Laxmangarh,Manasi,SC (Woman)
Sikar,Laxmangarh,Narodda,General
Sikar,Laxmangarh,Paldi,General
Sikar,Laxmangarh,Patoda,OBC (Woman)
Sikar,Laxmangarh,Rajas,General (Woman)
Sikar,Laxmangarh,Rajpura,SC
Sikar,Laxmangarh,Rehnawa,General
Sikar,Laxmangarh,Rinu,SC
Sikar,Laxmangarh,Roru Badi,OBC
Sikar,Laxmangarh,Singodra,General
Sikar,Nechwa,Bhilunda,General (Woman)
Sikar,Nechwa,Dhahar Ka Bas,General (Woman)
Sikar,Nechwa,Gadoda,OBC (Woman)
Sikar,Nechwa,Gana,SC (Woman)
Sikar,Nechwa,Ganade,OBC
Sikar,Nechwa,Ghirniya Bada,General (Woman)
Sikar,Nechwa,Jhajhad,General
Sikar,Nechwa,Kachhwa,General
Sikar,Nechwa,Kumas Jagir,OBC
Sikar,Nechwa,Mangaluna,SC
Sikar,Nechwa,Meerand,OBC (Woman)
Sikar,Nechwa,Nechwa,General (Woman)
Sikar,Nechwa,Rulayani,General
Sikar,Nechwa,Rulyana Mali,General (Woman)
Sikar,Nechwa,Suthoth,General (Woman)
Sikar,Nechwa,Sutod,General
Sikar,Nechwa,Tidoki Badi,General
Sikar,Nechwa,Tunva,SC
Udaipur,Mawali,Amli,General
Udaipur,Mawali,Bargaon,General (Woman)
Udaipur,Mawali,Bariyar,OBC (Woman)
Udaipur,Mawali,Basliya,ST
Udaipur,Mawali,Bhansol,General (Woman)
Udaipur,Mawali,Bhimal,OBC (Woman)
Udaipur,Mawali,Boyna,General (Woman)
Udaipur,Mawali,Chandesara,General
Udaipur,Mawali,Changeri,General (Woman)
Udaipur,Mawali,Dabok,OBC
Udaipur,Mawali,Dholi Magri,SC
Udaipur,Mawali,Dhundiya,OBC
Udaipur,Mawali,Dhunimata,SC
Udaipur,Mawali,Gadoli,General
Udaipur,Mawali,Ghasa,SC
Udaipur,Mawali,Golwara,ST
Udaipur,Mawali,Gudli,ST (Woman)
Udaipur,Mawali,Intali,General (Woman)
Udaipur,Mawali,Jawar,ST (Woman)
Udaipur,Mawali,Jewana,General (Woman)
Udaipur,Mawali,Khartana,General (Woman)
Udaipur,Mawali,Khemli,OBC (Woman)
Udaipur,Mawali,Khempur,General
Udaipur,Mawali,Ladani,General (Woman)
Udaipur,Mawali,Lopra,ST
Udaipur,Mawali,Mahura,General
Udaipur,Mawali,Mangthala,General
Udaipur,Mawali,Mavli,General
Udaipur,Mawali,Merta,General
Udaipur,Mawali,Morath,ST (Woman)
Udaipur,Mawali,Namri,ST (Woman)
Udaipur,Mawali,Nandwel,General
Udaipur,Mawali,Nauwa,ST
Udaipur,Mawali,Noorda,OBC
Udaipur,Mawali,Palana Kalan,General (Woman)
Udaipur,Mawali,Palana Khurd,ST
Udaipur,Mawali,Palana Khurd,ST (Woman)
Udaipur,Mawali,Phali Chara,OBC (Woman)
Udaipur,Mawali,Rakhyawal,General
Udaipur,Mawali,Sakariya Kheri,General (Woman)
Udaipur,Mawali,Salera Kalan,General
Udaipur,Mawali,Sangwa,SC (Woman)
Udaipur,Mawali,Sankroda,General
Udaipur,Mawali,Sindhu,General (Woman)
Udaipur,Mawali,Thamla,General
Udaipur,Mawali,Tuslsidas Ji Ki Saray,OBC
Udaipur,Mawali,Vasani Kalan,SC (Woman)
Udaipur,Mawali,Veer Dholiya,ST
Udaipur,Mawali,Vijanwas,ST
Udaipur,Mawali,Warni,General (Woman)
Sikar,Ajitgarh,Ajitgarh,General (Woman)
Sikar,Ajitgarh,Aspura,General (Woman)
Sikar,Ajitgarh,Burqa Ki Dhani,General
Tonk,Piplu,Bagdwa,General (Woman)
Sikar,Ajitgarh,Chiplata,OBC
Sikar,Ajitgarh,Deepawas,OBC (Woman)
Sikar,Ajitgarh,Divrala,General
