"state","period","sample","fixed_effects","outcome","contrast","variance","n","clusters","left_n","right_n","left_clusters","right_clusters","common_clusters","left_mean","right_mean","estimate","standard_error","p_value","conf_low","conf_high","mde_80","bootstrap_seed","bootstrap_B","bootstrap_p","bootstrap_low","bootstrap_high"
"raj","15_20","exclude_conflicts",FALSE,"female_winner_2020","treat_2015","cluster",3944,294,2465,1479,293,273,272,0.119269776876268,0.108181203515889,0.0110885733603786,0.0112254573340767,0.324062718367332,-0.0110041757221992,0.0331813224429565,0.031449075333707,NA,NA,NA,NA,NA
"raj","15_20","exclude_conflicts",FALSE,"female_winner_2020","treat_2015","HC1",3944,294,2465,1479,293,273,272,0.119269776876268,0.108181203515889,0.0110885733603786,0.010387543081563,0.285817082059714,-0.00927689001373212,0.0314540367344893,0.0291015871498185,NA,NA,NA,NA,NA
"raj","15_20","exclude_conflicts",TRUE,"female_winner_2020","treat_2015","cluster",3944,294,2465,1479,293,273,272,0.119269776876268,0.108181203515889,0.00826807265328045,0.0114688027100034,0.471534430099307,-0.0143036028703996,0.0308397481769605,0.0321308281417994,NA,NA,NA,NA,NA
"raj","15_20","exclude_conflicts",TRUE,"female_winner_2020","treat_2015","HC1",3944,294,2465,1479,293,273,272,0.119269776876268,0.108181203515889,0.00826807265328045,0.01122588186901,0.461462398205156,-0.0137415520039839,0.0302776973105448,0.0314502647045009,NA,NA,NA,NA,NA
"raj","05_20","full",FALSE,"female_winner_2020","111-000","cluster",2671,230,149,225,98,122,65,0.167785234899329,0.0844444444444444,0.0833407904548835,0.0322849499200759,0.0104631678882605,0.0197272585390434,0.146954322370724,0.0904490384636022,NA,NA,NA,NA,NA
"raj","05_20","full",FALSE,"female_winner_2020","111-000","HC1",2671,230,149,225,98,122,65,0.167785234899329,0.0844444444444444,0.0833407904548835,0.0358413174453774,0.0201322337376888,0.0130611564346215,0.153620424475146,0.100412505152664,NA,NA,NA,NA,NA
"raj","05_20","full",FALSE,"female_winner_2020","111-001","cluster",2671,230,149,873,98,211,88,0.167785234899329,0.101947308132875,0.0658379267664533,0.0309205744177836,0.0343002518793601,0.00491272934625672,0.12676312418665,0.0866266242244245,NA,NA,NA,NA,NA
"raj","05_20","full",FALSE,"female_winner_2020","111-001","HC1",2671,230,149,873,98,211,88,0.167785234899329,0.101947308132875,0.0658379267664533,0.0323286223570899,0.0417967771666126,0.00244617920867557,0.129229674324231,0.0905713905175795,NA,NA,NA,NA,NA
"raj","05_20","full",FALSE,"female_winner_2020","101-001","cluster",2671,230,411,873,177,211,166,0.143552311435523,0.101947308132875,0.0416050033026476,0.0197856704764836,0.0365765764974699,0.00261976766040736,0.0805902389448878,0.0554312419373706,NA,NA,NA,NA,NA
"raj","05_20","full",FALSE,"female_winner_2020","101-001","HC1",2671,230,411,873,177,211,166,0.143552311435523,0.101947308132875,0.0416050033026476,0.020130150884374,0.0388494137262422,0.00213269207741035,0.0810773145278848,0.056396333156046,NA,NA,NA,NA,NA
"raj","05_20","full",FALSE,"female_winner_2020","011-001","cluster",2671,230,273,873,141,211,128,0.131868131868132,0.101947308132875,0.0299208237352563,0.0231534822788332,0.197562069979478,-0.0157002717768512,0.0755419192473638,0.0648664537002195,NA,NA,NA,NA,NA
"raj","05_20","full",FALSE,"female_winner_2020","011-001","HC1",2671,230,273,873,141,211,128,0.131868131868132,0.101947308132875,0.0299208237352563,0.0229299899763526,0.192047372033357,-0.0150415665586358,0.0748832140291483,0.0642403209692281,NA,NA,NA,NA,NA
"raj","05_20","full",TRUE,"female_winner_2020","111-000","cluster",2671,230,149,225,98,122,65,0.167785234899329,0.0844444444444444,0.0942430692153644,0.0328842894355206,0.00454541985676844,0.0294486123332924,0.159037526097436,0.0921281391907029,120019,9999,0.0048004800480048,0.0282299657862176,0.160039500354332
"raj","05_20","full",TRUE,"female_winner_2020","111-000","HC1",2671,230,149,225,98,122,65,0.167785234899329,0.0844444444444444,0.0942430692153644,0.0366355281831413,0.0101569345145653,0.0224030295481947,0.166083108882534,0.10263755421565,120019,9999,0.0048004800480048,0.0282299657862176,0.160039500354332
"raj","05_20","full",TRUE,"female_winner_2020","111-001","cluster",2671,230,149,873,98,211,88,0.167785234899329,0.101947308132875,0.0533793438201408,0.0320794338355524,0.0974853827615374,-0.0098292438713961,0.116587931511678,0.0898732676391167,120020,9999,0.0999099909990999,-0.0103321399177365,0.116904705216709
"raj","05_20","full",TRUE,"female_winner_2020","111-001","HC1",2671,230,149,873,98,211,88,0.167785234899329,0.101947308132875,0.0533793438201408,0.0338355535710631,0.114784935366402,-0.012970116150915,0.119728803791197,0.09479318673136,120020,9999,0.0999099909990999,-0.0103321399177365,0.116904705216709
"raj","05_20","full",TRUE,"female_winner_2020","101-001","cluster",2671,230,411,873,177,211,166,0.143552311435523,0.101947308132875,0.0337563176758735,0.0202761585171071,0.0973146150901654,-0.00619536445935449,0.0737079998111015,0.0568053859816427,120021,9999,0.103010301030103,-0.00681386706773287,0.0739929110496476
"raj","05_20","full",TRUE,"female_winner_2020","101-001","HC1",2671,230,411,873,177,211,166,0.143552311435523,0.101947308132875,0.0337563176758735,0.0201116330803304,0.0933881640597397,-0.00568136999822871,0.0731940053499758,0.0563444539499654,120021,9999,0.103010301030103,-0.00681386706773287,0.0739929110496476
"raj","05_20","full",TRUE,"female_winner_2020","011-001","cluster",2671,230,273,873,141,211,128,0.131868131868132,0.101947308132875,0.0186833907993199,0.0252598157474918,0.460270709333977,-0.0310879763305421,0.0684547579291819,0.0707675264104301,120022,9999,0.45984598459846,-0.0315381257803819,0.0682044015346587
"raj","05_20","full",TRUE,"female_winner_2020","011-001","HC1",2671,230,273,873,141,211,128,0.131868131868132,0.101947308132875,0.0186833907993199,0.0245282326149506,0.446307127723949,-0.0294149795917065,0.0667817611903463,0.0687179339204821,120022,9999,0.45984598459846,-0.0315381257803819,0.0682044015346587
"raj","05_20","restricted",FALSE,"female_winner_2020","111-000","cluster",601,47,58,77,39,38,31,0.103448275862069,0.0649350649350649,0.0385132109270043,0.051616558107988,0.459378785595657,-0.0653855317199338,0.142411953573942,0.144608186205208,NA,NA,NA,NA,NA
"raj","05_20","restricted",FALSE,"female_winner_2020","111-000","HC1",601,47,58,77,39,38,31,0.103448275862069,0.0649350649350649,0.0385132109270043,0.0491919143604762,0.433988100224206,-0.0580983551480462,0.135124777002055,0.137815340122989,NA,NA,NA,NA,NA
"raj","05_20","restricted",FALSE,"female_winner_2020","111-001","cluster",601,47,58,153,39,43,37,0.103448275862069,0.117647058823529,-0.0141987829614605,0.0523237586421023,0.78732523186056,-0.119521046451071,0.0911234805281497,0.146589468767825,NA,NA,NA,NA,NA
"raj","05_20","restricted",FALSE,"female_winner_2020","111-001","HC1",601,47,58,153,39,43,37,0.103448275862069,0.117647058823529,-0.0141987829614605,0.0480445572783292,0.767689708055835,-0.108556971301682,0.080159405378761,0.134600921481749,NA,NA,NA,NA,NA
"raj","05_20","restricted",FALSE,"female_winner_2020","101-001","cluster",601,47,62,153,35,43,33,0.0967741935483871,0.117647058823529,-0.0208728652751424,0.052743950847117,0.694126736029161,-0.127040931804927,0.0852952012546422,0.14776667303816,NA,NA,NA,NA,NA
"raj","05_20","restricted",FALSE,"female_winner_2020","101-001","HC1",601,47,62,153,35,43,33,0.0967741935483871,0.117647058823529,-0.0208728652751424,0.0460050696911756,0.650205044993153,-0.111225556119543,0.0694798255692579,0.128887123205055,NA,NA,NA,NA,NA
"raj","05_20","restricted",FALSE,"female_winner_2020","011-001","cluster",601,47,94,153,41,43,37,0.117021276595745,0.117647058823529,-0.000625782227784671,0.0426071075361409,0.988345190730869,-0.0863894414699695,0.0851378770144002,0.119367442659802,NA,NA,NA,NA,NA
"raj","05_20","restricted",FALSE,"female_winner_2020","011-001","HC1",601,47,94,153,41,43,37,0.117021276595745,0.117647058823529,-0.000625782227784671,0.0424462141185951,0.988242216069388,-0.0839889786649867,0.0827374142094174,0.118916686039514,NA,NA,NA,NA,NA
"raj","05_20","restricted",TRUE,"female_winner_2020","111-000","cluster",601,47,58,77,39,38,31,0.103448275862069,0.0649350649350649,0.0673112062370268,0.0477843709526694,0.165663952794993,-0.0288737437507348,0.163496156224788,0.133871987317825,120027,9999,0.17961796179618,-0.030514420661415,0.164674036542878
"raj","05_20","restricted",TRUE,"female_winner_2020","111-000","HC1",601,47,58,77,39,38,31,0.103448275862069,0.0649350649350649,0.0673112062370268,0.0469922804248416,0.15260384379944,-0.0249962146675332,0.159618627141587,0.131652878203656,120027,9999,0.17961796179618,-0.030514420661415,0.164674036542878
"raj","05_20","restricted",TRUE,"female_winner_2020","111-001","cluster",601,47,58,153,39,43,37,0.103448275862069,0.117647058823529,-0.0240171894635665,0.0490210848418206,0.626507867663604,-0.122691515395923,0.07465713646879,0.137336746668706,120028,9999,0.637163716371637,-0.122578957328108,0.0762776093534482
"raj","05_20","restricted",TRUE,"female_winner_2020","111-001","HC1",601,47,58,153,39,43,37,0.103448275862069,0.117647058823529,-0.0240171894635665,0.0459705520879068,0.60157047041174,-0.114317618862396,0.066283239935263,0.128790419197972,120028,9999,0.637163716371637,-0.122578957328108,0.0762776093534482
"raj","05_20","restricted",TRUE,"female_winner_2020","101-001","cluster",601,47,62,153,35,43,33,0.0967741935483871,0.117647058823529,-0.0202913843997975,0.0557170667114315,0.717387750257748,-0.132444022767938,0.0918612539683432,0.156096110495361,120029,9999,0.72037203720372,-0.134631232795837,0.0924967299600082
"raj","05_20","restricted",TRUE,"female_winner_2020","101-001","HC1",601,47,62,153,35,43,33,0.0967741935483871,0.117647058823529,-0.0202913843997975,0.0462158135584438,0.660793488928613,-0.111073583433721,0.0704908146341264,0.129477540108401,120029,9999,0.72037203720372,-0.134631232795837,0.0924967299600082
"raj","05_20","restricted",TRUE,"female_winner_2020","011-001","cluster",601,47,94,153,41,43,37,0.117021276595745,0.117647058823529,-0.0116212448324867,0.0457710715138391,0.800704803738474,-0.10375363324052,0.0805111435755464,0.128231557370363,120030,9999,0.807880788078808,-0.105634533262453,0.0804063092292372
"raj","05_20","restricted",TRUE,"female_winner_2020","011-001","HC1",601,47,94,153,41,43,37,0.117021276595745,0.117647058823529,-0.0116212448324867,0.0425216064496456,0.784724148554188,-0.0951468747572386,0.0719043850922651,0.119127904079744,120030,9999,0.807880788078808,-0.105634533262453,0.0804063092292372
"raj","05_20","exclude_conflicts",FALSE,"female_winner_2020","111-000","cluster",2621,230,147,218,98,121,64,0.163265306122449,0.0779816513761468,0.085283654746302,0.0329837943536027,0.0103398980569301,0.0202931356340618,0.150274173858542,0.0924069106983313,NA,NA,NA,NA,NA
"raj","05_20","exclude_conflicts",FALSE,"female_winner_2020","111-000","HC1",2621,230,147,218,98,121,64,0.163265306122449,0.0779816513761468,0.085283654746302,0.0355385967763726,0.0164759859212181,0.0155970057873222,0.154970303705282,0.0995644074011627,NA,NA,NA,NA,NA
"raj","05_20","exclude_conflicts",FALSE,"female_winner_2020","111-001","cluster",2621,230,147,855,98,210,87,0.163265306122449,0.0900584795321637,0.0732068265902853,0.0305377223195487,0.0173208234465503,0.0130359922473246,0.133377660933246,0.085554031445286,NA,NA,NA,NA,NA
"raj","05_20","exclude_conflicts",FALSE,"female_winner_2020","111-001","HC1",2621,230,147,855,98,210,87,0.163265306122449,0.0900584795321637,0.0732068265902853,0.0320671515888629,0.0225149011884978,0.010327238238807,0.136086414941764,0.089838857878346,NA,NA,NA,NA,NA
"raj","05_20","exclude_conflicts",FALSE,"female_winner_2020","101-001","cluster",2621,230,407,855,175,210,164,0.137592137592138,0.0900584795321637,0.0475336580599739,0.0186865905466678,0.0116265025025335,0.0107140245440024,0.0843532915759454,0.0523520758524741,NA,NA,NA,NA,NA
"raj","05_20","exclude_conflicts",FALSE,"female_winner_2020","101-001","HC1",2621,230,407,855,175,210,164,0.137592137592138,0.0900584795321637,0.0475336580599739,0.0197124541971874,0.0159620891388198,0.00888005323693117,0.0861872628830166,0.0552261202915691,NA,NA,NA,NA,NA
"raj","05_20","exclude_conflicts",FALSE,"female_winner_2020","011-001","cluster",2621,230,268,855,140,210,127,0.119402985074627,0.0900584795321637,0.0293445055424633,0.0210328140463957,0.164313948190843,-0.012098073458978,0.0707870845439046,0.058925220927701,NA,NA,NA,NA,NA
"raj","05_20","exclude_conflicts",FALSE,"female_winner_2020","011-001","HC1",2621,230,268,855,140,210,127,0.119402985074627,0.0900584795321637,0.0293445055424633,0.0221286165662264,0.184926262537732,-0.0140468850715778,0.0727358961565044,0.0619952050692296,NA,NA,NA,NA,NA
"raj","05_20","exclude_conflicts",TRUE,"female_winner_2020","111-000","cluster",2621,230,147,218,98,121,64,0.163265306122449,0.0779816513761468,0.0893207714081661,0.0332782137913652,0.00780465960278318,0.023750134923989,0.154891407892343,0.0932317518430919,NA,NA,NA,NA,NA
"raj","05_20","exclude_conflicts",TRUE,"female_winner_2020","111-000","HC1",2621,230,147,218,98,121,64,0.163265306122449,0.0779816513761468,0.0893207714081661,0.035930489573678,0.0129892725700538,0.0188625343271523,0.15977900848918,0.100662328469178,NA,NA,NA,NA,NA
"raj","05_20","exclude_conflicts",TRUE,"female_winner_2020","111-001","cluster",2621,230,147,855,98,210,87,0.163265306122449,0.0900584795321637,0.0610479477555902,0.0315611375953396,0.0543113091577895,-0.00113940079819801,0.123235296309378,0.0884212165539329,NA,NA,NA,NA,NA
"raj","05_20","exclude_conflicts",TRUE,"female_winner_2020","111-001","HC1",2621,230,147,855,98,210,87,0.163265306122449,0.0900584795321637,0.0610479477555902,0.0332677573296609,0.0666230283342285,-0.0041887790716458,0.126284674582826,0.0932024571745472,NA,NA,NA,NA,NA
"raj","05_20","exclude_conflicts",TRUE,"female_winner_2020","101-001","cluster",2621,230,407,855,175,210,164,0.137592137592138,0.0900584795321637,0.0362268263211415,0.0193636459938637,0.0626387879539996,-0.00192686186753693,0.07438051450982,0.0542489043851808,NA,NA,NA,NA,NA
"raj","05_20","exclude_conflicts",TRUE,"female_winner_2020","101-001","HC1",2621,230,407,855,175,210,164,0.137592137592138,0.0900584795321637,0.0362268263211415,0.0198551998682074,0.0681939023386984,-0.00270841770709243,0.0751620703493755,0.0556260344534483,NA,NA,NA,NA,NA
"raj","05_20","exclude_conflicts",TRUE,"female_winner_2020","011-001","cluster",2621,230,268,855,140,210,127,0.119402985074627,0.0900584795321637,0.0199568985283462,0.0244142443178761,0.414533252606741,-0.0281483738651715,0.0680621709218639,0.0683985859923603,NA,NA,NA,NA,NA
"raj","05_20","exclude_conflicts",TRUE,"female_winner_2020","011-001","HC1",2621,230,268,855,140,210,127,0.119402985074627,0.0900584795321637,0.0199568985283462,0.024441943777007,0.414294599099169,-0.0279727648242728,0.0678865618809651,0.0684761883876111,NA,NA,NA,NA,NA
"up","05_10","full",FALSE,"female_winner_2010","treat_2005","cluster",26444,706,12545,13899,687,693,674,0.154085292945397,0.136052953449888,0.0180323394955081,0.00486839433147282,0.000228861426412753,0.00847405248555372,0.0275906265054624,0.0136392215949992,NA,NA,NA,NA,NA
"up","05_10","full",FALSE,"female_winner_2010","treat_2005","HC1",26444,706,12545,13899,687,693,674,0.154085292945397,0.136052953449888,0.0180323394955081,0.00434147088102579,3.28442155644426e-05,0.0095228234117155,0.0265418555793006,0.0121630006451497,NA,NA,NA,NA,NA
"up","05_10","full",TRUE,"female_winner_2010","treat_2005","cluster",26444,706,12545,13899,687,693,674,0.154085292945397,0.136052953449888,0.0184777332325202,0.00455820605536335,5.60206320268404e-05,0.00952844959581569,0.0274270168692247,0.012770202705819,120040,9999,0,0.00934343643053052,0.02757734413368
"up","05_10","full",TRUE,"female_winner_2010","treat_2005","HC1",26444,706,12545,13899,687,693,674,0.154085292945397,0.136052953449888,0.0184777332325202,0.00443137085315541,3.05924105496984e-05,0.00979199748403034,0.0271634689810101,0.0124148630781769,120040,9999,0,0.00934343643053052,0.02757734413368
"up","05_10","restricted",FALSE,"female_winner_2010","treat_2005","cluster",20152,551,9524,10628,533,538,520,0.151406971860563,0.13558524651863,0.0158217253419326,0.00536424518033337,0.00331852307902756,0.00528481067840884,0.0263586400054564,0.0150283900035557,NA,NA,NA,NA,NA
"up","05_10","restricted",FALSE,"female_winner_2010","treat_2005","HC1",20152,551,9524,10628,533,538,520,0.151406971860563,0.13558524651863,0.0158217253419326,0.00495181991922141,0.00139981497142093,0.00611575362726431,0.025527697056601,0.0138729454884481,NA,NA,NA,NA,NA
"up","05_10","restricted",TRUE,"female_winner_2010","treat_2005","cluster",20152,551,9524,10628,533,538,520,0.151406971860563,0.13558524651863,0.015149739840835,0.00525303609750905,0.00408040634229045,0.00483127168304231,0.0254682079986277,0.0147168282809952,120042,9999,0.0037003700370037,0.00486114457664971,0.0254288318939091
"up","05_10","restricted",TRUE,"female_winner_2010","treat_2005","HC1",20152,551,9524,10628,533,538,520,0.151406971860563,0.13558524651863,0.015149739840835,0.00506168031007158,0.00276570581569096,0.00522841605798625,0.0250710636236838,0.01418072873551,120042,9999,0.0037003700370037,0.00486114457664971,0.0254288318939091
"up","10_15","full",FALSE,"female_winner_2015","treat_2010","cluster",22709,595,8296,14413,588,593,586,0.170323047251688,0.156802886283217,0.0135201609684711,0.00487823773679541,0.0057542404862972,0.00393946928514666,0.0231008526517954,0.0136667987338469,NA,NA,NA,NA,NA
"up","10_15","full",FALSE,"female_winner_2015","treat_2010","HC1",22709,595,8296,14413,588,593,586,0.170323047251688,0.156802886283217,0.0135201609684711,0.00511952733144875,0.00827426560156053,0.0034855368999225,0.0235547850370196,0.0143427920955122,NA,NA,NA,NA,NA
"up","10_15","full",TRUE,"female_winner_2015","treat_2010","cluster",22709,595,8296,14413,588,593,586,0.170323047251688,0.156802886283217,0.0115924110906593,0.00493014430822408,0.0190320453086643,0.00190977668046751,0.0212750455008512,0.0138122194170844,120044,9999,0.0191019101910191,0.00193376952097057,0.0213228283185432
"up","10_15","full",TRUE,"female_winner_2015","treat_2010","HC1",22709,595,8296,14413,588,593,586,0.170323047251688,0.156802886283217,0.0115924110906593,0.00509954419243979,0.0230221751158015,0.00159694103000062,0.0215878811513181,0.0142868076286532,120044,9999,0.0191019101910191,0.00193376952097057,0.0213228283185432
"up","10_15","restricted",FALSE,"female_winner_2015","treat_2010","cluster",4050,105,1391,2659,105,105,105,0.1509705248023,0.151560737119218,-0.000590212316917264,0.0107731703123221,0.95641454851137,-0.0219538133254524,0.0207733886916178,0.030181954699215,NA,NA,NA,NA,NA
"up","10_15","restricted",FALSE,"female_winner_2015","treat_2010","HC1",4050,105,1391,2659,105,105,105,0.1509705248023,0.151560737119218,-0.000590212316917264,0.011856565185254,0.960300664468768,-0.0238356034698054,0.0226551788359709,0.0332171777606005,NA,NA,NA,NA,NA
"up","10_15","restricted",TRUE,"female_winner_2015","treat_2010","cluster",4050,105,1391,2659,105,105,105,0.1509705248023,0.151560737119218,-0.00128742260708229,0.0110268522020352,0.907280629866829,-0.0231540843227079,0.0205792391085433,0.0308926661315383,120046,9999,0.908490849084909,-0.0226587422624939,0.0202119104883712
"up","10_15","restricted",TRUE,"female_winner_2015","treat_2010","HC1",4050,105,1391,2659,105,105,105,0.1509705248023,0.151560737119218,-0.00128742260708229,0.0118856640497333,0.9137495386525,-0.0245900473260732,0.0220152021119087,0.0332987007091894,120046,9999,0.908490849084909,-0.0226587422624939,0.0202119104883712
"up","15_21","full",FALSE,"female_winner_2021","treat_2015","cluster",27919,636,11992,15927,636,636,636,0.22239826551034,0.185973504112513,0.0364247613978268,0.00504838247749504,1.54134572082446e-12,0.0265112181223922,0.0463383046732614,0.0141434737243306,NA,NA,NA,NA,NA
"up","15_21","full",FALSE,"female_winner_2021","treat_2015","HC1",27919,636,11992,15927,636,636,636,0.22239826551034,0.185973504112513,0.0364247613978268,0.00489160963107909,9.8711306549352e-14,0.0268369670080058,0.0460125557876478,0.0137042612352102,NA,NA,NA,NA,NA
"up","15_21","full",TRUE,"female_winner_2021","treat_2015","cluster",27919,636,11992,15927,636,636,636,0.22239826551034,0.185973504112513,0.0353897125860597,0.00506519139357214,7.12119975291964e-12,0.0254431615269069,0.0453362636452124,0.0141905653351447,120048,9999,0,0.0254399220260852,0.0453718446035016
"up","15_21","full",TRUE,"female_winner_2021","treat_2015","HC1",27919,636,11992,15927,636,636,636,0.22239826551034,0.185973504112513,0.0353897125860597,0.00484054254618034,2.72238691622899e-13,0.0259020026084029,0.0448774225637165,0.0135611924450257,120048,9999,0,0.0254399220260852,0.0453718446035016
"up","05_21","full",FALSE,"female_winner_2021","111-000","cluster",14117,449,550,2177,295,427,288,0.287272727272727,0.165824529168581,0.121448198104147,0.0205817518114145,7.14439314867642e-09,0.0809994303022658,0.161896965906027,0.0576615316377288,NA,NA,NA,NA,NA
"up","05_21","full",FALSE,"female_winner_2021","111-000","HC1",14117,449,550,2177,295,427,288,0.287272727272727,0.165824529168581,0.121448198104147,0.0208819217812814,6.15963494188109e-09,0.0805168721261482,0.162379524082145,0.0585024833882291,NA,NA,NA,NA,NA
"up","05_21","full",FALSE,"female_winner_2021","111-001","cluster",14117,449,550,2959,295,438,294,0.287272727272727,0.210882054748226,0.0763906725245015,0.0201015201009999,0.000164532448427249,0.0368856912925709,0.115895653756432,0.056316121576562,NA,NA,NA,NA,NA
"up","05_21","full",FALSE,"female_winner_2021","111-001","HC1",14117,449,550,2959,295,438,294,0.287272727272727,0.210882054748226,0.0763906725245015,0.0207062624891073,0.000225757462106559,0.0358036619703587,0.116977683078644,0.0580103589118499,NA,NA,NA,NA,NA
"up","05_21","full",FALSE,"female_winner_2021","101-001","cluster",14117,449,1751,2959,418,438,411,0.214163335237007,0.210882054748226,0.00328128048878193,0.0130906116156646,0.802192626073707,-0.0224453493179658,0.0290079102955296,0.0366744639985039,NA,NA,NA,NA,NA
