"term","estimate","std.error","statistic","p.value","conf.low","conf.high","state","panel","distance","n"
"treat_2005:high_f_literacy",-0.00142569969182437,0.0123883816334195,-0.115083610919632,0.908440776535676,-0.0257855232692186,0.0229341238855699,"up","05_10","mean",11971
"treat_2005",-0.00625680542941237,0.012048349688911,-0.519308087079426,0.603853911893647,-0.0299480091318294,0.0174343982730047,"up","05_10","minimum",11971
"near_town",-0.0197783656735381,0.0097086138963997,-2.03719767668098,0.0423357114338941,-0.0388688432432103,-0.000687888103865893,"up","05_10","minimum",11971
"high_infra",-0.00850834000489078,0.00896013924307443,-0.949576761484721,0.342942189049583,-0.0261270587083387,0.00911037869855719,"up","05_10","minimum",11971
"high_f_literacy",-0.0132155637369625,0.00940516426729576,-1.40513906630174,0.160812218870839,-0.0317093548589346,0.00527822738500968,"up","05_10","minimum",11971
"treat_2005:near_town",0.0169187386339851,0.012993964574457,1.30204592578644,0.193704153015523,-0.00863186950604775,0.0424693467740179,"up","05_10","minimum",11971
"treat_2005:high_infra",0.0204462205126404,0.0134971901604075,1.5148501480417,0.130657273181997,-0.00609390238857139,0.0469863434138522,"up","05_10","minimum",11971
"treat_2005:high_f_literacy",-0.00151024746020057,0.0123914937663876,-0.121877756521749,0.90306146561031,-0.025876190562509,0.0228556956421078,"up","05_10","minimum",11971
"treat_2010",-0.000779823058531515,0.0158693846161761,-0.0491400944266369,0.96083919426886,-0.0320047596018927,0.0304451134848296,"up","10_15","mean",9358
"near_town",-0.0011413403136669,0.00995878688410417,-0.114606359885928,0.908831093300195,-0.0207364598489283,0.0184537792215945,"up","10_15","mean",9358
"high_infra",-0.0013391044833354,0.0108258974525507,-0.123694547191549,0.901637032605605,-0.0226403690979858,0.019962160131315,"up","10_15","mean",9358
"high_f_literacy",0.00308521333561272,0.0114266293717668,0.270002048306192,0.787337751174671,-0.0193980640987392,0.0255684907699646,"up","10_15","mean",9358
"treat_2010:near_town",0.0234624212078198,0.0169873752386527,1.38116812504582,0.168218845949507,-0.009962297311165,0.0568871397268046,"up","10_15","mean",9358
"treat_2010:high_infra",0.0108868064740398,0.0165155852592396,0.659183813540556,0.51026552013097,-0.0216096081109695,0.0433832210590491,"up","10_15","mean",9358
"treat_2010:high_f_literacy",-0.0111193162692553,0.017555086099188,-0.633395712583241,0.526940772339585,-0.0456610746750372,0.0234224421365265,"up","10_15","mean",9358
"treat_2010",-0.000688478227763301,0.0159354898983533,-0.0432040829717099,0.965566575515088,-0.0320434849213595,0.0306665284658328,"up","10_15","minimum",9358
"near_town",9.96711297097696e-05,0.0100274556989116,0.009939822493615,0.992075672695656,-0.0196305626167659,0.0198299048761854,"up","10_15","minimum",9358
"high_infra",-0.00137392946428529,0.0108190881934464,-0.126991243598286,0.899029394839434,-0.02266179603682,0.0199139371082494,"up","10_15","minimum",9358
"high_f_literacy",0.00312144309771037,0.0114172601506889,0.273396861988997,0.784729633826505,-0.0193433992592461,0.0255862854546668,"up","10_15","minimum",9358
"treat_2010:near_town",0.0221225407543464,0.0169593127283168,1.30444795191545,0.193045399120874,-0.0112469613762478,0.0554920428849405,"up","10_15","minimum",9358
"treat_2010:high_infra",0.0109308978361626,0.0165066084759433,0.662213431189895,0.508324853797492,-0.0215478538403237,0.0434096495126489,"up","10_15","minimum",9358
"treat_2010:high_f_literacy",-0.0111604905317142,0.01757557338681,-0.635000081424931,0.525895251277065,-0.0457425601575853,0.0234215790941569,"up","10_15","minimum",9358
"treat_2015",0.0574587046705107,0.0169323346961244,3.39343071712741,0.000795791381427785,0.0241196779130041,0.0907977314280174,"up","15_21","mean",6301
"near_town",0.00419930652103241,0.0141620907651476,0.296517413330434,0.76706722836699,-0.0236852310477627,0.0320838440898275,"up","15_21","mean",6301
"high_infra",-0.0083415553844925,0.0135501688187183,-0.615605273712118,0.538683410626051,-0.0350212453931823,0.0183381346241973,"up","15_21","mean",6301
"high_f_literacy",-0.00470628069527434,0.0142621638716434,-0.329983636258138,0.741673029410156,-0.0327878578356965,0.0233752964451478,"up","15_21","mean",6301
"treat_2015:near_town",-0.0117011217952757,0.0192586407405047,-0.607577759663273,0.543987844249262,-0.0496205434511595,0.0262182998606082,"up","15_21","mean",6301
"treat_2015:high_infra",-0.0251817490186946,0.0203514810868068,-1.23734232959679,0.217055293663647,-0.0652529255389203,0.014889427501531,"up","15_21","mean",6301
"treat_2015:high_f_literacy",-0.00965505156157886,0.0191832502347568,-0.503306345036648,0.615166991846713,-0.0474260326076178,0.0281159294844601,"up","15_21","mean",6301
"treat_2015",0.0597567334075121,0.0174889039416801,3.41683696169763,0.000733075299243915,0.0253218461379737,0.0941916206770504,"up","15_21","minimum",6301
"near_town",0.00464776186768249,0.0140828067417794,0.330030934380005,0.7416373316058,-0.0230806689252928,0.0323761926606578,"up","15_21","minimum",6301
"high_infra",-0.00840137869581553,0.0135454314809416,-0.620237067208693,0.535634717327806,-0.0350717410935331,0.0182689837019021,"up","15_21","minimum",6301
"high_f_literacy",-0.00473331468632462,0.0142683827212014,-0.331734491484546,0.740351961476381,-0.0328271364696466,0.0233605070969974,"up","15_21","minimum",6301
