district,block,elex_gp,lgd_gp,lgd_gp_code,match_distance,tie_count,match_quality
Gonda,Manakapur,Gadrahi,Gadhhi,65431,0.1507936507936509,2,strict
Gonda,Belasar,Badalpur,Badlepur,64938,0.08333333333333338,2,strict
Gonda,Chhapia,Birpur,Beerapur,64995,0.18055555555555555,2,strict
Gonda,Karnailganj,Baseriya,Basariya,65069,0.08333333333333338,2,strict
Gonda,Bhabha njot,Pipra Adhai,Pipra Adaee,64922,0.12121212121212116,2,strict
Barabanki,Haidarganj,Alapur,Aalapur,51916,0.10317460317460315,2,strict
Barabanki,Siddhaur,Mirapur,Mira Pur,52475,0.04166666666666672,2,strict
Barabanki,Sirauli Gauspur,Madhavpur,Madhnapur,52535,0.07407407407407415,2,strict
Sultanpur,Baldirai,Baliyapur,Dariyapur,90867,0.14814814814814825,2,strict
Sultanpur,Bhaiyya,Shripur,Sansaripur,90963,0.18095238095238095,2,strict
Sultanpur,Kudebhar,Kodri,Korari,91585,0.17777777777777778,2,strict
Sultanpur,Pratappur Kemaicha,Munee Pur,Munipur,91871,0.1587301587301588,2,strict
Ambedkar Nagar,Akbarpur,Bansgavan,Bangaon,45634,0.1587301587301588,2,strict
Ambedkar Nagar,Jahangirganj,Udharanpur,Bharatpur,45981,0.1740740740740741,2,strict
Faizabad,Masaudha,Saraiwan,Saraiya,61081,0.130952380952381,2,strict
Faizabad,Masaudha,Hansapur,Hunsepur,61048,0.1666666666666667,2,strict
Faizabad,Puraabaajaar,Nariyaon,Nara,61265,0.1666666666666667,2,strict
Faizabad,Taroon,Kakauli,Kakooli,61379,0.19047619047619044,3,strict
Faizabad,Amaniganj,Garauli,Gadauli,60864,0.09523809523809525,3,strict
Basti,Bikramjot,Devkhar,Deokhal,54699,0.19047619047619044,2,strict
Basti,Raudhauli,Dhansa,Dhansi,271232,0.11111111111111106,2,strict
Basti,Basti,Basnawa,Bankata,53868,0.19047619047619044,2,strict
Siddharth Nagar,Mithwal,Chhitouna,Chhitauna,88667,0.13657407407407415,2,strict
Siddharth Nagar,Mithwal,Karmhiya,Karhi,88694,0.12500000000000006,2,strict
Siddharth Nagar,Bhanwaapur,Khamhariya,Khakharav,274018,0.1740740740740741,2,strict
