sl_no,dist_name,samiti_name,gp,reservation,name,sex_manual,category,gp_new,dist_name_new,samiti_name_new
2969,BUNDI,K.PATAN,GANDOLI KHURD,General,MADAN LAL GOCHAR,M,OBC,gandoli khurd,BUNDI,K.PATAN
4949,JAIPUR,BASSI,SUMEL,OBC,MADAN LAL GURJAR,M,OBC,sumel,JAIPUR,BASSI
2390,BHILWARA,MANDAL,CHITAMBA,General,MADAN LAL JAIN,M,General,chitamba,BHILWARA,MANDAL
3237,CHITTORGARH,DOONGL A,KISHANKARERI,ST,MADAN LAL MINA,M,ST,kishankareri,CHITTORGARH,DUNGLA
5200,JAIPUR,PHAGI,HARSOLIYA,SC,MADAN LAL RAJVANSHI,M,SC,harsoliya,JAIPUR,PHAGI
6208,JHUNJHUNU,JHUNJHUNU,KASIMPURA,General,MADAN LAL SAINI,M,OBC,kasimpura,JHUNJHUNU,JHUNJHUNU
5321,JAIPUR,SANGANER,P ANW ALIA,ST,MADAN LAL VERMA,M,ST,p anw alia,JAIPUR,SANGANER
5069,JAIPUR,GOVINDGARH,KHEJROLI,General,MADAN LAL YADAV,M,OBC,khejroli,JAIPUR,GOVINDGARH
5388,JAIPUR,PAWATA,LADA KA BAS,OBC,MADAN LAL YADAV,M,OBC,lada ka bas,JAIPUR,PAWATA
255,AJMER,SARW AD,BIRLA,General (Woman),MADAN MOHAN,F,General (Woman),birla,AJMER,SARW AD
8518,S. MADHOPUR,KHANDAR,KOSRA CHHARETA,General,MADAN MOHAN,M,OBC,kosra chhareta,SAWAIMADHOPUR,KHANDAR
1932,BHARA TPUR,KAMAN,JURHARA,SC,MADAN MOHAN,M,SC,jurhara,BHARATPUR,KAMAN
7224,KOT A,SULTANPUR,POLAIKALAN,ST,MADAN PAL,M,ST,polaikalan,KOTA,SULTANPUR
7912,P ALI,RANI,JAWALI,General,MADAN RAJ,M,General,jawali,PALI,RANI
5545,JAISALMER,SANKDA,RAJAMTHAI,General,MADAN SINGH,M,General,rajamthai,JAISALMER,SANKRA
7263,NAGAUR,DEGANA,AANTROLI KALAN,General,MADAN SINGH,M,General,aantroli kalan,NAGAUR,DEGANA
7783,P ALI,JAIT ARAN,NIMBOL,General,MADAN SINGH,M,General,nimbol,PALI,JAITARAN
7643,NAGAUR,NAVAN,BHUNI,General,MADAN SINGH,M,OBC,bhuni,NAGAUR,NAVAN
4384,GANGANAGAR,KARANPUR,56 F,General,MADANLAL,M,OBC,56 f,GANGANAGAR,KARANPUR
6571,JODHPUR,MANDORE,JOLIYALI,General,MADANLAL,M,OBC,joliyali,JODHPUR,MANDOR
4802,ANUMANGAR,H RAWATSAR,25 RWD (LALPURA),OBC,MADANLAL,M,OBC,25 rwd (lalpura),HANUMANGARH,RAWATSAR
2050,BHARA TPUR,NAGAR,SADAKPURI,SC,MADANLAL,M,SC,sadakpuri,BHARATPUR,NAGAR
4506,GANGANAGAR,SADULSAHAR,MORJAND KHARI,SC,MADANLAL,M,SC,morjand khari,GANGANAGAR,SADULSHAHAR
7316,NAGAUR,JAYAL,DUNGAST AU,SC,MADANLAL,M,SC,dungast au,NAGAUR,JAYAL
681,ALWAR,THANAGAZI,KHERKADIKALAN,General (Woman),MADANLAL,F,SC (Woman),kherkadikalan,ALWAR,THANAGAZI
5668,JALORE,JALORE,BADANVADI,General,MADANSINGH,M,General,badanvadi,JALORE,JALORE
8338,RAJSAMAND,RAILMAGRA,GOGATHALA,ST,MADHAV LAL,M,ST,gogathala,RAJSAMAND,RAILMAGRA
2695,BIKANER,KHAJUW ALA,LUNKHAN,General,MADHO SINGH,M,General,lunkhan,BIKANER,KHAJUWALA
3771,DAUSA,MAHUW A,TUDIYANA,General,MADHO SINGH GURJAR,M,OBC,tudiyana,DAUSA,MAHWA
2987,BUNDI,K.PATAN,NAVALPURA,ST,MADHOLAL,M,ST,navalpura,BUNDI,K.PATAN
7244,NAGAUR,DEEDW ANA,KERAP,General (Woman),MADHU,F,OBC,kerap,NAGAUR,DIDWANA
2012,BHARA TPUR,NADBAI,NAM,General (Woman),MADHU,F,OBC (Woman),nam,BHARATPUR,NADBAI
6461,JODHPUR,BAWARI,JETIYAVAS,SC (Woman),MADHU,F,SC,jetiyavas,JODHPUR,BAWARI
8326,RAJSAMAND,KUMBHALGARH,THURAWAD,General,MADHU,M,ST (Woman),thurawad,RAJSAMAND,KUMBHALGARH
6007,JHALAWAR,PIDAWA,OSAV,General (Woman),MADHU BALA,F,OBC (Woman),osav,JHALAWAR,PIRAWA
8892,SIKAR,SRIMADHOPUR,LISADIYA,General (Woman),MADHU DEVI,F,OBC (Woman),lisadiya,SIKAR,SRIMADHOPUR
2541,BHILWARA,SUWANA,BHOP ALGARH,SC (Woman),MADHU DEVI BALAI,F,SC (Woman),bhopalgarh,BHILWARA,SUWANA
5103,JAIPUR,JAMW ARAMGARH,DANGARW ADA,General (Woman),MADHU GUPTA,F,General (Woman),dangarw ada,JAIPUR,JAMWA RAMGARH
2531,BHILWARA,SHAHPURA,REHAD,General (Woman),MADHU KANWAR,F,General,rehad,BHILWARA,SHAHPURA
7866,P ALI,RAIPUR,BABRA,General (Woman),MADHU KANWAR,F,General (Woman),babra,PALI,RAIPUR
7616,NAGAUR,MOULASAR,BAIDAVA,OBC (Woman),MADHU KANWAR,F,OBC (Woman),baidava,NAGAUR,MOULASAR
1977,BHARA TPUR,KUMHER,SANTRUK,General (Woman),MADHU KUMARI,F,OBC (Woman),santruk,BHARATPUR,KUMHER
2222,BHILWARA,P AHADI,BHADASI,OBC (Woman),MADHU KUMARI,F,OBC (Woman),bhadasi,BHILWARA,P AHADI
9433,UDAIPUR,GOGUNDA,CHATIYAN KHERI,General (Woman),MADHU KUNWAR,F,General (Woman),chatiyan kheri,UDAIPUR,GOGUNDA
143,AJMER,MASUDA,ANDHERI DEVRI,General (Woman),MADHU KUNWAR,F,OBC (Woman),andheri devri,AJMER,MASUDA
1684,BARMER,KALYANPUR,THOB,General (Woman),MADHU MATI,F,General (Woman),thob,BARMER,KALYANPUR
8624,SIKAR,DANT ARAMGARH,RAMGARH,General (Woman),MADHU SAWAMI,F,OBC (Woman),ramgarh,SIKAR,DANTA RAMGARH
3155,CHITTORGARH,BHAINSRORGARH,KHA TIKHEDA,General (Woman),MADHU SHARMA,F,General,kha tikheda,CHITTORGARH,BHAINSRORGARH
2819,BIKANER,NOKHA,GAJRUPDESAR,General (Woman),MADHUBALA,F,OBC (Woman),gajrupdesar,BIKANER,NOKHA
8825,SIKAR,NEEMKA THANA,KURABADA,OBC (Woman),MADHUBALA,F,OBC (Woman),kurabada,SIKAR,NEEM KA THANA
1147,BARAN,ANT A,JARELA,ST (Woman),MADHUBALA,F,ST (Woman),jarela,BARAN,ANTAH
7195,KOT A,SANGOD,SHYAMPURA,General (Woman),MADHUBALA NAHRIYA,F,OBC (Woman),shyampura,KOTA,SANGOD
3735,DAUSA,MAHUW A,DHAND,SC (Woman),MADHULATA,F,SC (Woman),dhand,DAUSA,MAHWA
9789,UDAIPUR,PHALASIY A,KAVEL,ST (Woman),MADHURI,F,ST (Woman),kavel,UDAIPUR,PHALASIY A
5732,JALORE,RANIW ARA,DHANOL,General (Woman),MADHURI DEVI,F,SC,dhanol,JALORE,RANIWARA
8791,SIKAR,NEEMKA THANA,BHAGEDA,General,MADHUSUDAN SINGH,M,General,bhageda,SIKAR,NEEM KA THANA
3100,CHITTORGARH,BEGUN,KHEDI,ST (Woman),MADNI MEENA,F,ST (Woman),khedi,CHITTORGARH,BEGUN
5654,JALORE,CHITALWANA,KERIYA,OBC (Woman),MADU,F,OBC (Woman),keriya,JALORE,CHITALWANA
6611,JODHPUR,OSIYAN,SAMRAU,OBC,MADU KANWAR,M,OBC,samrau,JODHPUR,OSIAN
7610,NAGAUR,RIYAN,SESRA,OBC (Woman),MADUDI,F,OBC (Woman),sesra,NAGAUR,RIYAN
5799,JALORE,SAYLA,BAKRA,General (Woman),MAFI DEVI,F,OBC (Woman),bakra,JALORE,SAYLA
5436,JAISALMER,JAISALMER,DHA YSAR,OBC,MAGAN KHAN,M,OBC,dha ysar,JAISALMER,JAISALMER
9828,UDAIPUR,SEMARI,RATHORA,ST,MAGAN LAL MEENA,M,ST,rathora,UDAIPUR,SEMARI
1759,BARMER,SEDHAWA,EKAL,ST,MAGARAM,M,ST,ekal,BARMER,SEDHAWA
644,ALWAR,RAMGARH,MILAKPUR,General,MAGHARAM,M,OBC,milakpur,ALWAR,RAMGARH
2809,BIKANER,LUNKARANSAR,ARJANSAR STATION,OBC,MAGHARAM,M,OBC,arjansar station,BIKANER,LUNKARANSAR
4609,GANGANAGAR,SHRI VIJAYNAGAR,(3 SAD) MASHNIWALA,General,MAGHARAM,M,SC,(3 sad) mashniwala,GANGANAGAR,SHRI VIJAYNAGAR
6796,JODHPUR,LOHAWAT,CHHILA,General,MAGHARAM,M,SC,chhila,JODHPUR,LOHAWAT
3366,CHURU,CHURU,JASRASAR,SC,MAGHARAM,M,SC,jasrasar,CHURU,CHURU
6899,KARAULI,HINDAUN,VIJAYPURA,SC (Woman),MAGLESH JATAV,F,SC,vijaypura,KARAULI,HINDAUN
6755,JODHPUR,TINW ARI,MINO KI DHANI,SC (Woman),MAGLI,F,SC (Woman),mino ki dhani,JODHPUR,TINW ARI
6621,JODHPUR,OSIYAN,SIRMANDI,SC,MAGNA RAM,M,SC,sirmandi,JODHPUR,OSIAN
1782,BARMER,GUDHAMALANI,ALAPURA,OBC,MAGRAJ,M,OBC,alapura,BARMER,GUDHAMALANI
1391,BARMER,BARMER,HATHITALA,General,MAGRAJ GODARA,M,OBC,hathitala,BARMER,BARMER
8478,S. MADHOPUR,GANGAPURCITY,KUNAKT ANKALA,OBC,MAGRAJ MALI,M,OBC,kunakt ankala,SAWAIMADHOPUR,GANGAPUR
779,ALWAR,UMRAIN,UMREN,SC,MAGRAJ MALI,M,SC,umren,ALWAR,UMREN
215,AJMER,PEESANGAN,TILORA,General (Woman),MAGUDDA,F,General (Woman),tilora,AJMER,PEESANGAN
1082,BANSW ARA,GANGAD TALAI,JHERE MOTEE,ST,MAGUDDA,M,ST,jhere motee,BANSWARA,GANGAD TALAI
6348,JHUNJHUNU,UDAIPURWATI,BHATIWAR,General,MAHA VEER,M,OBC,bhatiwar,JHUNJHUNU,UDAIPURWATI
4738,ANUMANGAR,H NOHAR,JABRASAR,SC,MAHA VEER,M,SC,jabrasar,HANUMANGARH,NOHAR
582,ALWAR,RAINI,PERVENI,General (Woman),MAHA VEER,F,ST,perveni,ALWAR,RAINI
7084,KOT A,ITAWA,DURJANURA,ST,MAHA VEER,M,ST,durjanura,KOTA,ITAWA
9580,UDAIPUR,LASADIA,ARNIYA,ST,MAHA VEER,M,ST,arniya,UDAIPUR,LASADIYA
2428,BHILWARA,MANDALGARH,JHANJHOLA,OBC,MAHADEV GURJAR,M,OBC,jhanjhola,BHILWARA,MANDALGARH
3798,DAUSA,SIKRAI,MARIYADA,General,MAHARAJ SINGH,M,OBC,mariyada,DAUSA,SIKRAI
3937,DHOLPUR,DHOLPUR,JATOLI,OBC,MAHARAJ SINGH LODHA,M,OBC,jatoli,DHOLPUR,DHOLPUR
2928,BUNDI,HINDOLI,GUDHA BANDH,General,MAHAVEER GURJAR,M,OBC,gudha bandh,BUNDI,HINDOLI
2441,BHILWARA,MANDALGARH,RALAYATA,ST,MAHAVEER MEENA,M,ST,ralayata,BHILWARA,MANDALGARH
3843,DHOLPUR,BARI,BIJOLI,General,MAHAVEER PRASAD,M,General,bijoli,DHOLPUR,BARI
8925,SIKAR,PATAN,SHYAMPURA,General,MAHAVEER PRASAD,M,General,shyampura,SIKAR,PATAN
6125,JHUNJHUNU,BUHANA,DOOMOLI KHURD,General,MAHAVEER PRASAD,M,OBC,doomoli khurd,JHUNJHUNU,BUHANA
5205,JAIPUR,PHAGI,LASADIYA,SC,MAHAVEER PRASAD,M,SC,lasadiya,JAIPUR,PHAGI
8843,SIKAR,PIPRALI,KA T ARTHAL,SC,MAHAVEER PRASAD,M,SC,katarthal,SIKAR,PIPRALI
5541,JAISALMER,SANKDA,OLA,General,MAHAVEER SINGH,M,General,ola,JAISALMER,SANKRA
7700,P ALI,BALI,BEDA,General,MAHAVEER SINGH,M,General,beda,PALI,BALI
8657,SIKAR,DHOD,MUNDAWADA,General,MAHAVEER SINGH,M,OBC,mundawada,SIKAR,DHOND
3979,DHOLPUR,RAJAKHERA,DHOKIYAPURA,SC,MAHAVEER SINGH,M,SC,dhokiyapura,DHOLPUR,RAJAKHERA
3361,CHURU,CHURU,DUDHVAKHARA,General,MAHAVEER SINGH RATHORE,M,General,dudhvakhara,CHURU,CHURU
8693,SIKAR,FATEHPUR,MANDELA BADA,General,MAHAVIR SINGH,M,General,mandela bada,SIKAR,FATEHPUR
2901,BUNDI,BUNDI,MA TUNDA,General,MAHENDRA,M,General,ma tunda,BUNDI,BUNDI
4640,ANUMANGAR,H BHADRA,ANOOPSHAHAR,General,MAHENDRA,M,General,anoopshahar,HANUMANGARH,BHADRA
8778,SIKAR,LAXMANGARH,NARODDA,General,MAHENDRA,M,OBC,narodda,SIKAR,LAXMANGARH
7957,P ALI,SOJAT,BOYAL,SC,MAHENDRA,M,SC,boyal,PALI,SOJAT
7419,NAGAUR,MAKRANA,GEDHAKALA,General,MAHENDRA DAN,M,OBC,gedhakala,NAGAUR,MAKRANA
8643,SIKAR,DHOD,FATEHPURA,SC,MAHENDRA KRISHAN,M,SC,fatehpura,SIKAR,DHOND
1305,BARAN,KISHANGANJ,KHANDELA,General,MAHENDRA KUMAR,M,General,khandela,BARAN,KISHANGANJ
7875,P ALI,RAIPUR,DEVALIKALAN,General,MAHENDRA KUMAR,M,OBC,devalikalan,PALI,RAIPUR
3535,CHURU,SUJANGARH,GUDABADI,OBC,MAHENDRA KUMAR,M,OBC,gudabadi,CHURU,SUJANGARH
9020,SIROHI,REODAR,P ADAR,SC,MAHENDRA KUMAR,M,SC,padar,SIROHI,REODAR
1099,BANSW ARA,ARA THUNA,P ADEDI,ST,MAHENDRA KUMAR CHARPOT A,M,ST,padedi,BANSWARA,ARA THUNA
8498,S. MADHOPUR,GANGAPURCITY,UDAIKHURD,General,MAHENDRA KUMAR MEENA,M,ST,udaikhurd,SAWAIMADHOPUR,GANGAPUR
798,BANSW ARA,ANADPURI,MADKOLA MOGJI,ST,MAHENDRA KUMAR MEENA,M,ST,madkola mogji,BANSWARA,ANANDPURI
3057,BUNDI,T ALERA,SUNW ASA,SC (Woman),MAHENDRA KUMARI,F,SC (Woman),sunw asa,BUNDI,TALERA
9128,TONK,DEOLI,TOKRAWAS,General,MAHENDRA MINA,M,ST,tokrawas,TONK,DEOLI
2996,BUNDI,K.PATAN,SUMERGANJ MANDI,General,MAHENDRA PAL,M,ST,sumerganj mandi,BUNDI,K.PATAN
8264,RAJSAMAND,KHAMNOR,JHALO KI MADAR,General,MAHENDRA PALIWAL,M,General,jhalo ki madar,RAJSAMAND,KHAMNOR
1186,BARAN,ATARU,KHARKHADA RAM LOTHAN,General,MAHENDRA SINGH,M,General,kharkhada ram lothan,BARAN,ATRU
5700,JALORE,JASW ANTPURA,DHANSA,General,MAHENDRA SINGH,M,General,dhansa,JALORE,JASWANTPURA
6563,JODHPUR,MANDORE,BERU,General,MAHENDRA SINGH,M,General,beru,JODHPUR,MANDOR
8690,SIKAR,FATEHPUR,HUDERA,General,MAHENDRA SINGH,M,General,hudera,SIKAR,FATEHPUR
9626,UDAIPUR,MAWALI,NAMRI,General,MAHENDRA SINGH,M,General,namri,UDAIPUR,MAVLI
1909,BHARA TPUR,DEEG,MAWAI,General,MAHENDRA SINGH,M,OBC,mawai,BHARATPUR,DEEG
3438,CHURU,RAJGARH,SURA TPURA,OBC,MAHENDRA SINGH,M,OBC,sura tpura,CHURU,RAJGARH
9363,UDAIPUR,BHINDER,GOOP ARI,General,MAHENDRA SINGH CHOUHAN,M,General,goopari,UDAIPUR,BHINDAR
7909,P ALI,RANI,INDARW ARA,General,MAHENDRA SINGH KUMPAWAT,M,General,indarw ara,PALI,RANI
9266,TONK,TONK,LAMBA,General,MAHENDRA SINGH MEENA,M,ST,lamba,TONK,TONK
2253,BHILWARA,ASIND,RATANPUR (BHA),General,MAHENDRA SINGH RAWAT,M,OBC,ratanpur (bha),BHILWARA,ASIND
3859,DHOLPUR,BARI,NIDHARA,General,MAHESH,M,OBC,nidhara,DHOLPUR,BARI
2133,BHARA TPUR,SEW AR,PHULWARA,OBC,MAHESH,M,OBC,phulwara,BHARATPUR,SEWAR
1560,BARMER,SINDHARI,SINDHARI CHOSIRA,ST,MAHESH,M,ST,sindhari chosira,BARMER,SINDHARI
5248,JAIPUR,SAHAPURA,NAYAN,General,MAHESH CHAND,M,General,nayan,JAIPUR,SAHAPURA
2062,BHARA TPUR,ROOPWAS,ANDHIYARI,SC,MAHESH CHAND,M,SC,andhiyari,BHARATPUR,RUPBAS
7075,KARAULI,MANDRAYAL,DHARGAMA,SC,MAHESH JATAV,M,SC,dhargama,KARAULI,MANDRAYAL
4322,GANGANAGAR,ANUPGARH,11/12 ND(NAHARAWALI),General,MAHESH JYANI,M,OBC,11/12 nd(naharawali),GANGANAGAR,ANUPGARH
3942,DHOLPUR,DHOLPUR,SADIKPUR,General,MAHESH KUMAR,M,General,sadikpur,DHOLPUR,DHOLPUR
2059,BHARA TPUR,NAGAR,THOON,General,MAHESH KUMAR,M,OBC,thoon,BHARATPUR,NAGAR
2982,BUNDI,K.PATAN,LESRDA,General,MAHESH KUMAR,M,OBC,lesrda,BUNDI,K.PATAN
5286,JAIPUR,SAMBHARLAKE,MALIKPUR,OBC,MAHESH KUMAR,M,OBC,malikpur,JAIPUR,SAMBHARLAKE
8785,SIKAR,LAXMANGARH,SINGODRA,General,MAHESH KUMAR DHEWA,M,OBC,singodra,SIKAR,LAXMANGARH
5168,JAIPUR,KOTPUTLI,GORDHANPURA,General,MAHESH KUMAR YADAV,M,OBC,gordhanpura,JAIPUR,KOTPUTLI
1300,BARAN,KISHANGANJ,GARDA,General (Woman),MAHIMA,F,OBC (Woman),garda,BARAN,KISHANGANJ
7079,KOT A,ITAWA,BALUPA,SC (Woman),MAHINDRA BAIRWA,F,SC (Woman),balupa,KOTA,ITAWA
567,ALWAR,RAINI,BHAJEDA,General (Woman),MAHIP AL,F,General (Woman),bhajeda,ALWAR,RAINI
6106,JHUNJHUNU,ALSISAR,LOONA,General,MAHIPAL,M,OBC,loona,JHUNJHUNU,ALSISAR
6133,JHUNJHUNU,BUHANA,JHANJHA,General,MAHIPAL,M,OBC,jhanjha,JHUNJHUNU,BUHANA
7511,NAGAUR,NAGAUR,BARANGAON,General,MAHIPAL,M,OBC,barangaon,NAGAUR,NAGAUR
6430,JODHPUR,BAP,ROHINA,OBC,MAHIPAL,M,OBC,rohina,JODHPUR,BAP
25,AJMER,BHINAY,BOOBKIYA,OBC,MAHIPAL,M,OBC,boobkiya,AJMER,BHINAY
5401,JAIPUR,JALSU,JAISINGHPURA SHEKHAWATAN,ST,MAHIPAL MEENA,M,ST,jaisinghpura shekhawatan,JAIPUR,JALSU
4267,DUNGARPUR,JOTHALI,SURATA,ST,MAHIPAL ROAT,M,ST,surata,DUNGARPUR,JOTHALI
5690,JALORE,JALORE,SANKRNA,General,MAHIPAL SINDH,M,General,sankrna,JALORE,JALORE
7815,P ALI,MARWAR JUN,HEMALIAWAS KHURD,General,MAHIPAL SINGH,M,General,hemaliawas khurd,PALI,MARWAR JUN
7818,P ALI,MARWAR JUN,JADAN,General,MAHIPAL SINGH,M,General,jadan,PALI,MARWAR JUN
50,AJMER,JAWAJA,BAMANHEDA,OBC,MAHIPAL SINGH,M,OBC,bamanheda,AJMER,JAWAJA
7716,P ALI,BALI,KHIMEL,General,MAHIRAJ SINGH,M,General,khimel,PALI,BALI
6568,JODHPUR,MANDORE,JAJIWAL KALAN,General,MAHIRAM,M,General,jajiwal kalan,JODHPUR,MANDOR
7385,NAGAUR,LADNU,INDRAPURA,General,MAHVEER PRASAD,M,General,indrapura,NAGAUR,LADNU
4605,GANGANAGAR,SURA TGARH,ETA,OBC (Woman),MAINA,F,OBC (Woman),eta,GANGANAGAR,SURATGARH
6464,JODHPUR,BAWARI,MAILANA,SC (Woman),MAINA,F,SC (Woman),mailana,JODHPUR,BAWARI
7874,P ALI,RAIPUR,CHIT AD,General (Woman),MAINA BANU,F,OBC (Woman),chit ad,PALI,RAIPUR
4335,GANGANAGAR,GHADSANA,12 MLD-A,General (Woman),MAINA DEVI,F,General (Woman),12 mld-a,GANGANAGAR,GHADSANA
403,ALWAR,KISHANGARHBAS,MEHERMPUR,General (Woman),MAINA DEVI,F,OBC,mehermpur,ALWAR,KISHANGARH BAS
6527,JODHPUR,LUNI,GUDA VISHNOIYA,OBC,MAINA DEVI,F,OBC (Woman),guda vishnoiya,JODHPUR,LUNI
7972,P ALI,SOJAT,KELWAD,OBC (Woman),MAINA DEVI,F,OBC (Woman),kelwad,PALI,SOJAT
2245,BHILWARA,ASIND,NAGEDIYA,General (Woman),MAINA GURJAR,F,OBC (Woman),nagediya,BHILWARA,ASIND
2472,BHILWARA,SAHARA,BHARAK,OBC (Woman),MAINA JAT,F,OBC,bharak,BHILWARA,SAHARA
1736,BARMER,SEDHAWA,PANORIYA,General (Woman),MAINA KANWAR,F,OBC (Woman),panoriya,BARMER,SEDHAWA
6575,JODHPUR,MANDORE,LORDI DEJGRA,General (Woman),MAINA KUMARI,F,OBC (Woman),lordi dejgra,JODHPUR,MANDOR
5071,JAIPUR,GOVINDGARH,KUSHALPURA,SC (Woman),MAINA KUMARI VERMA,F,SC (Woman),kushalpura,JAIPUR,GOVINDGARH
451,ALWAR,LAXMANGARH,CHIMRAWALIGOUR,General (Woman),MAINNA KUMARI,F,OBC (Woman),chimrawaligour,ALWAR,LAXMANGARH
4428,GANGANAGAR,P ADAMPUR,FAKIRWALI,SC (Woman),MAINNA KUMARI,F,SC (Woman),fakirwali,GANGANAGAR,PADAMPUR
5237,JAIPUR,SAHAPURA,JAGATPURA,General,MAKHAN LAL,M,OBC,jagatpura,JAIPUR,SAHAPURA
4856,ANUMANGAR,H SANGARIYA,SANTPURA,SC,MAKHANRAM,M,SC,santpura,HANUMANGARH,SANGARIYA
7904,P ALI,RANI,CHANCHORI,General,MAKNA RAM,M,OBC,chanchori,PALI,RANI
1703,BARMER,DHANAU,NETRAD,OBC,MALA RAM,M,OBC,netrad,BARMER,DHANAU
7482,NAGAUR,MUNDW A,GELOLI,OBC,MALAK SHER KHAN,M,OBC,geloli,NAGAUR,MUNDAWA
6147,JHUNJHUNU,BUHANA,PUHANIYA,General,MALARAM,M,OBC,puhaniya,JHUNJHUNU,BUHANA
1630,BARMER,GIDA,JAKHDA,General (Woman),MALI DEVI,F,General (Woman),jakhda,BARMER,GIDA
9545,UDAIPUR,KOTDA,JUDA,ST (Woman),MALI DEVI W/O LADURAM,F,ST (Woman),juda,UDAIPUR,KOTRA
5413,JAIPUR,JALSU,RAMPURA DABLI,General,MALIRAM SHARMA,M,General,rampura dabli,JAIPUR,JALSU
4161,DUNGARPUR,SIMALWARA,MEVADA,ST,MALJI URF GALJI,M,ST,mevada,DUNGARPUR,SIMALWARA
3909,DHOLPUR,BASERI,T AJPURA,OBC,MALKHAN,M,OBC,t ajpura,DHOLPUR,BASERI
1288,BARAN,KISHANGANJ,BADIPURA,ST,MALKHAN MINA,M,ST,badipura,BARAN,KISHANGANJ
3647,DAUSA,BANDIKUI,UNABAD GAON,General,MALKHAN SAINI,M,OBC,unabad gaon,DAUSA,BANDIKUI
1713,BARMER,DHANAU,KITNORIYA,OBC,MALUK KHAN,M,OBC,kitnoriya,BARMER,DHANAU
3579,CHURU,T ARANAGAR,SAHAWA,General (Woman),MAMATA,F,OBC (Woman),sahawa,CHURU,TARANAGAR
5241,JAIPUR,SAHAPURA,KIRIRI,General (Woman),MAMATA,F,OBC (Woman),kiriri,JAIPUR,SAHAPURA
5227,JAIPUR,SAHAPURA,BISHANGARH,SC (Woman),MAMATA,F,SC (Woman),bishangarh,JAIPUR,SAHAPURA
1622,BARMER,RAMSAR,PADAIYA,SC,MAMATA,M,SC (Woman),padaiya,BARMER,RAMSAR
5366,JAIPUR,PAWATA,DW ARKAPURA,General,MAMRAJ GURJAR,M,OBC,dw arkapura,JAIPUR,PAWATA
4892,JAIPUR,AMER,BILOCHI,OBC,MAMRAJ GURJAR,M,OBC,bilochi,JAIPUR,AMBER
7139,KOT A,KHERABAD,UDPURA MODAK STATION,OBC (Woman),MAMT A MEW ARA,F,OBC (Woman),udpura modak station,KOTA,KHAIRABAD
6455,JODHPUR,BAWARI,LAVERA KALAN,General,MAMTA,M,General,lavera kalan,JODHPUR,BAWARI
1246,BARAN,CHHABRA,KAHAIYAWAN,General (Woman),MAMTA,F,General (Woman),kahaiyawan,BARAN,CHHABRA
5602,JALORE,BHEENMAL,BHAGALBHIM,General (Woman),MAMTA,F,General (Woman),bhagalbhim,JALORE,BHINMAL
9300,TONK,UNIARA,KAKOD,General (Woman),MAMTA,F,OBC,kakod,TONK,UNIARA
2874,BIKANER,P ANCHU,KANVALISAR,OBC (Woman),MAMTA,F,OBC,kanvalisar,BIKANER,P ANCHU
1842,BHARA TPUR,BAYANA,BAJNA,General (Woman),MAMTA,F,OBC (Woman),bajna,BHARATPUR,BAYANA
1910,BHARA TPUR,DEEG,MOROLI,General (Woman),MAMTA,F,OBC (Woman),moroli,BHARATPUR,DEEG
3450,CHURU,RATANGARH,DAUDSAR,General (Woman),MAMTA,F,OBC (Woman),daudsar,CHURU,RATANGARH
3840,DHOLPUR,BARI,IBRAHIMPUR,General (Woman),MAMTA,F,OBC (Woman),ibrahimpur,DHOLPUR,BARI
5064,JAIPUR,GOVINDGARH,ITAWA BHOPJI,General (Woman),MAMTA,F,OBC (Woman),itawa bhopji,JAIPUR,GOVINDGARH
6326,JHUNJHUNU,SURAJGARH,KAKORA,General (Woman),MAMTA,F,OBC (Woman),kakora,JHUNJHUNU,SURAJGARH
7184,KOT A,SANGOD,KURAD,General (Woman),MAMTA,F,OBC (Woman),kurad,KOTA,SANGOD
7517,NAGAUR,NAGAUR,CHHILA,General (Woman),MAMTA,F,OBC (Woman),chhila,NAGAUR,NAGAUR
8529,S. MADHOPUR,KHANDAR,TALAWARA,General (Woman),MAMTA,F,OBC (Woman),talawara,SAWAIMADHOPUR,KHANDAR
9226,TONK,TODARAISINGH,LAXMIPURA,General (Woman),MAMTA,F,OBC (Woman),laxmipura,TONK,TODARAISINGH
9293,TONK,UNIARA,CHOURU,General (Woman),MAMTA,F,OBC (Woman),chouru,TONK,UNIARA
3943,DHOLPUR,DHOLPUR,SINGHVALIBERAH,OBC (Woman),MAMTA,F,OBC (Woman),singhvaliberah,DHOLPUR,DHOLPUR
5527,JAISALMER,SANKDA,JAIMLA,OBC (Woman),MAMTA,F,OBC (Woman),jaimla,JAISALMER,SANKRA
5585,JALORE,AHORE,NORVA,OBC (Woman),MAMTA,F,OBC (Woman),norva,JALORE,AHORE
6131,JHUNJHUNU,BUHANA,GUNTI,OBC (Woman),MAMTA,F,OBC (Woman),gunti,JHUNJHUNU,BUHANA
7491,NAGAUR,MUNDW A,HILODI,OBC (Woman),MAMTA,F,OBC (Woman),hilodi,NAGAUR,MUNDAWA
8983,SIROHI,PINDW ARA,PESHUA,SC (Woman),MAMTA,F,SC,peshua,SIROHI,PINDWARA
1485,BARMER,DHORIMANNA,ARNIYALI,SC (Woman),MAMTA,F,SC (Woman),arniyali,BARMER,DHORIMANNA
4528,GANGANAGAR,SRI GANGANAGAR,4Z,SC (Woman),MAMTA,F,SC (Woman),4z,GANGANAGAR,GANGANAGAR
