sl_no,dist_name,samiti_name,gp,reservation,name,sex_manual,category,gp_new,dist_name_new,samiti_name_new
5856,JHALAWAR,BAKANI,THOBDIYAKHURD,OBC,DHANRAJ,M,OBC,thobdiyakhurd,JHALAWAR,BAKANI
7207,KOT A,SULTANPUR,DEEGOD,SC,DHANRAJ,M,SC,deegod,KOTA,SULTANPUR
4234,DUNGARPUR,CHIKHALI,DUNGAR,ST,DHANRAJ BAMANIYA,M,ST,dungar,DUNGARPUR,CHIKHALI
1167,BARAN,ANT A,TISAYA,ST,DHANRAJ MEENA,M,ST,tisaya,BARAN,ANTAH
8071,PRA T APGARH,CHOTI SADRI,SW AROOPGANJ,ST,DHANRAJ MEENA,M,ST,sw aroopganj,PRATAPGARH,CHHOTISADRI
262,AJMER,SARW AD,SANPLA,General,DHANRAJ SINGH,M,OBC,sanpla,AJMER,SARW AD
1939,BHARA TPUR,KAMAN,NORERA,General,DHANRAJ SINGH,M,OBC,norera,BHARATPUR,KAMAN
6904,KARAULI,KAURALI,CHAINPUR GANDHOLI,SC,DHANSINGH JATAV,M,SC,chainpur gandholi,KARAULI,KARAULI
1252,BARAN,CHHABRA,P ACHP ADA,ST (Woman),DHAPO BAI,F,ST (Woman),pachpada,BARAN,CHHABRA
2650,BIKANER,DUNGARGARH,PUNRASAR,General (Woman),DHAPU,F,OBC,punrasar,BIKANER,DUNGARGARH
6530,JODHPUR,LUNI,JHANW AR,General (Woman),DHAPU,F,OBC (Woman),jhanw ar,JODHPUR,LUNI
9356,UDAIPUR,BHINDER,BHOPA KHERA,ST (Woman),DHAPU,F,ST (Woman),bhopa khera,UDAIPUR,BHINDAR
6038,JHALAWAR,BHAVANI MANDI,GHATONDA,OBC (Woman),DHAPU BAI,F,OBC (Woman),ghatonda,JHALAWAR,BHAVANI MANDI
8153,PRA T APGARH,PRA T APGARH,DABADA,ST (Woman),DHAPU BAI,F,ST (Woman),dabada,PRATAPGARH,PRATAPGARH
3077,CHITTORGARH,BARISADRI,NIKUM,General (Woman),DHAPU BAI GURJAR,F,OBC (Woman),nikum,CHITTORGARH,BARISADRI
2357,BHILWARA,KOTRI,JAWAL,ST (Woman),DHAPU BHEEL,F,ST (Woman),jawal,BHILWARA,KOTRI
6694,JODHPUR,SEKHALA,GODELAI,General (Woman),DHAPU DEVI,F,General (Woman),godelai,JODHPUR,SEKHALA
1747,BARMER,SEDHAWA,KEKAD,General,DHAPU DEVI,F,OBC (Woman),kekad,BARMER,SEDHAWA
6520,JODHPUR,LUNI,BORANADA,General (Woman),DHAPU DEVI,F,OBC (Woman),boranada,JODHPUR,LUNI
6662,JODHPUR,SHERGARH,JATI BHANDU,General (Woman),DHAPU DEVI,F,OBC (Woman),jati bhandu,JODHPUR,SHERGARH
2774,BIKANER,LUNKARANSAR,HANSERA,OBC (Woman),DHAPU DEVI,F,OBC (Woman),hansera,BIKANER,LUNKARANSAR
3586,CHURU,BIDASAR,BALERA,SC,DHAPU DEVI,F,SC (Woman),balera,CHURU,BIDASAR
1652,BARMER,PATAUDI,KALEW A,SC (Woman),DHAPU DEVI,F,SC (Woman),kalewa,BARMER,PATAUDI
4618,GANGANAGAR,SHRI VIJAYNAGAR,28 GB,SC (Woman),DHAPU DEVI,F,SC (Woman),28 gb,GANGANAGAR,SHRI VIJAYNAGAR
2313,BHILWARA,JAHAZPUR,BHAGUNAGAR,SC (Woman),DHAPU DEVI BALAI,F,SC (Woman),bhagunagar,BHILWARA,JAHAZPUR
5489,JAISALMER,SAM,MODHA,General (Woman),DHAPU KANWAR,F,General (Woman),modha,JAISALMER,SAM
1537,BARMER,SHIV,Hadva,General (Woman),DHAPU KANWAT,F,General (Woman),hadva,BARMER,SHEO
3990,DHOLPUR,SAIP AU,KUKRAMANKERA,General (Woman),DHARA DEVI,F,OBC (Woman),kukramankera,DHOLPUR,SAIP AU
8393,S. MADHOPUR,BAMANW AS,BICHOCHH,SC,DHARA SINGH,M,SC,bichochh,SAWAIMADHOPUR,BAMANWAS
3813,DAUSA,SIKRAI,TORDA,General,DHARA SINGH GURJAR,M,OBC,torda,DAUSA,SIKRAI
2709,BIKANER,KHAJUW ALA,25 KYD,SC,DHARAM PAAL,M,SC,25 kyd,BIKANER,KHAJUWALA
4732,ANUMANGAR,H NOHAR,DHANDHELA,General,DHARAM PAL,M,OBC,dhandhela,HANUMANGARH,NOHAR
4726,ANUMANGAR,H NOHAR,BHUKARKA,OBC,DHARAM PAL,M,OBC,bhukarka,HANUMANGARH,NOHAR
3883,DHOLPUR,BASERI,BHARLI,SC,DHARAM SINGH,M,SC,bharli,DHOLPUR,BASERI
9466,UDAIPUR,JHADOL,GODANA,ST,DHARAMCHAND,M,ST,godana,UDAIPUR,JHADOL
3397,CHURU,RAJGARH,CHANDGODHI,General,DHARAMPAL SINGH,M,OBC,chandgodhi,CHURU,RAJGARH
134,AJMER,KISHANGARH,SALEMABAD,General,DHARANIDHAR,M,General,salemabad,AJMER,KISHANGARH
7225,KOT A,SULTANPUR,RAIL GAON,General,DHARM CHAND,M,General,rail gaon,KOTA,SULTANPUR
6083,JHUNJHUNU,ALSISAR,BADET,General,DHARM PAL,M,OBC,badet,JHUNJHUNU,ALSISAR
544,ALWAR,NEEMRANA,KATHUWAS,OBC,DHARM PAL,M,OBC,kathuwas,ALWAR,NEEMRANA
2,AJMER,ARAI,ARAI,General (Woman),DHARM PAL,M,OBC (Woman),arai,AJMER,ARAI
